t__s,ACT_TILT_LEFT_FRONT.Position_CMD,ACT_TILT_LEFT_FRONT.Position_FB,ACT_TILT_LEFT_FRONT.Torque_FB,ACT_TILT_LEFT_FRONT.Temperature_FB__dC,ACT_TILT_LEFT_FRONT.Voltage_FB__V
-0.007999,7304,7276,257,18,5.94
0.091971,7304,7276,257,18,5.94
0.191983,7304,7276,257,18,5.94
0.291943,7304,7276,257,18,5.94
0.391978,7304,7276,257,18,5.94
0.491939,7304,7276,257,18,5.94
0.591992,7304,7276,257,18,5.96
0.691942,7304,7276,257,18,5.96
0.791996,7304,7276,257,18,5.94
0.891941,7304,7276,257,18,5.94
0.9959,6000,7276,257,18,5.95
1.095909,6000,6136,419,18,5.95
1.195902,6000,6004,419,18,5.95
1.295902,6000,5996,419,18,7.43
1.3959,6000,5996,0,18,7.43
1.495902,6000,6000,0,18,7.43
1.595901,6000,6000,0,18,7.43
1.695901,6000,5996,0,18,7.43
1.795902,6000,5996,0,18,7.43
1.8959,6000,5996,0,18,7.43
1.995902,6000,5996,0,18,7.42
2.095901,6000,5996,0,18,7.42
2.195902,6000,5996,0,18,7.42
2.295901,6000,5996,0,18,7.42
2.395947,6000,5996,0,18,7.42
2.495902,6000,5996,0,18,7.42
2.595932,6000,5996,0,18,7.42
2.695901,6000,5996,0,18,7.42
2.795901,6000,5996,0,18,7.42
2.895909,6000,5996,0,18,7.42
2.995901,6000,5996,0,18,7.42
3.095902,6000,5996,0,18,7.42
3.195901,6000,5996,0,18,7.42
3.2959,6000,5996,0,18,7.41
3.395901,6000,5996,0,18,7.41
3.495939,6000,5996,0,18,7.41
3.595902,6000,5996,0,18,7.41
3.6959,6000,5996,0,18,7.41
3.7959,6000,5996,0,18,7.42
3.8959,6000,5996,0,18,7.42
3.9959,6000,5996,0,18,7.41
4.095901,6000,5996,0,18,7.41
4.195944,6000,5996,0,18,7.41
4.295901,6000,5996,0,18,7.42
4.3959,6000,5996,0,18,7.42
4.495902,6000,5996,0,18,7.42
4.595901,6000,5996,0,18,7.41
4.69594,6000,5996,0,18,7.41
4.795901,6000,5996,0,18,7.41
4.895902,6000,5996,0,19,7.41
4.995901,6000,5996,0,19,7.41
5.095901,6000,5996,0,19,7.41
5.195902,6000,5996,0,19,7.41
5.2959,6000,5996,0,19,7.41
5.395901,6000,5996,0,19,7.41
5.495901,6000,5996,0,19,7.41
5.595901,6000,5996,0,19,7.41
5.695909,6000,5996,0,19,7.41
5.795901,6000,5996,0,19,7.41
5.895902,6000,5996,0,19,7.41
5.9959,6000,5996,0,19,7.42
6.095901,6000,5996,0,19,7.42
6.195901,6000,5996,0,19,7.42
6.295901,6000,5996,0,19,6.09
6.3959,6000,5996,0,19,6.09
6.495901,6000,5996,0,19,6.09
6.595901,6000,5996,0,19,6.1
6.695901,6000,5996,0,19,6.1
6.7959,6000,5996,0,19,6.1
6.8959,6000,5996,0,18,6.1
6.995901,6000,5996,0,18,6.1
7.095901,6000,5996,0,18,6.1
7.195902,6000,5996,0,18,6.1
7.2959,6000,5996,0,18,6.1
7.395901,6000,5996,0,18,6.1
7.4959,6000,5996,0,18,6.1
7.595901,6000,5996,0,18,6.1
7.695901,6000,5996,0,18,6.1
7.7959,6000,5996,0,18,6.1
7.895901,6000,5996,0,18,6.1
7.9959,6000,5996,0,18,6.1
8.095903,6000,5996,0,18,6.1
8.195903,6000,5996,0,18,6.1
8.2959,6000,5996,0,18,6.1
8.395908,6000,5996,0,18,6.1
8.495902,6000,5996,0,18,6.1
8.595932,6000,5996,0,18,6.1
8.695902,6000,5996,0,18,6.1
8.795902,6000,5996,0,18,6.1
8.895932,6000,5996,0,18,6.1
8.995904,6000,5996,0,18,6.1
9.095942,6000,5996,0,18,6.1
9.195902,6000,5996,0,18,6.1
9.295958,6000,5996,0,18,6.1
9.395904,6000,5996,0,18,6.1
9.49596,6000,5996,0,18,6.1
9.595941,6000,5996,0,18,6.1
9.695951,6000,5996,0,18,6.1
9.795902,6000,5996,0,18,6.1
9.895903,6000,5996,0,18,6.1
9.995903,6000,5996,0,18,6.1
10.095901,6000,5996,0,18,6.1
10.195903,6000,5996,0,18,6.1
10.295902,6000,5996,0,18,6.1
10.395899,6000,5996,0,18,6.1
10.499968,6000,5996,0,18,6.1
10.599977,6000,5996,0,18,6.1
