t__s,ACT_ELEVATOR.Position_CMD,ACT_ELEVATOR.Position_FB,ACT_ELEVATOR.Torque_FB,ACT_ELEVATOR.Temperature_FB__dC,ACT_ELEVATOR.Voltage_FB__V
0.051884,7912,7916,0,21,6.09
0.151849,7912,7916,0,21,6.09
0.251883,7912,7916,0,21,6.09
0.351851,7912,7916,0,21,6.09
0.451883,7912,7916,0,21,6.09
0.551865,7912,7916,0,21,6.1
0.651882,7912,7916,0,21,6.1
0.751886,7912,7916,0,21,6.1
0.851886,7912,7916,0,21,6.1
0.951863,7912,7916,0,21,6.1
1.051883,8203,7952,0,21,6.1
1.151866,8217,8216,0,21,6.1
1.251881,8217,8216,0,21,6.1
1.351851,8217,8216,0,21,7.45
1.451882,8217,8216,0,21,7.45
1.551847,8217,8216,0,21,7.45
1.651885,8217,8216,0,21,7.45
1.751847,8217,8216,0,21,7.45
1.851886,8217,8216,0,21,7.45
1.951846,8217,8216,0,21,7.45
2.051886,8217,8216,0,21,7.45
2.151848,8217,8216,0,21,7.45
2.251891,8217,8216,0,21,7.45
2.351851,8217,8216,0,21,7.44
2.451885,8217,8216,0,21,7.44
2.551856,8217,8216,0,21,7.44
2.651886,8217,8216,0,21,7.44
2.751848,8217,8216,0,21,7.44
2.851886,8217,8216,0,21,7.44
2.951847,8217,8216,0,21,7.44
3.051883,8217,8216,0,21,7.44
3.151849,8217,8216,0,21,7.44
3.251884,8217,8216,0,21,7.44
3.351878,8217,8216,0,21,7.44
3.451883,8217,8216,0,21,7.44
3.551877,8217,8216,0,21,7.44
3.651885,8217,8216,0,21,7.44
3.751849,8217,8216,0,21,7.44
3.851886,8217,8216,0,21,7.45
3.951848,8217,8216,0,21,7.45
4.051884,8217,8216,0,21,7.45
4.15185,8217,8216,0,21,7.45
4.251884,8217,8216,0,21,7.45
4.351851,8217,8216,0,21,7.45
4.451885,8217,8216,0,21,7.45
4.551846,8217,8216,0,21,7.45
4.651904,8217,8216,0,21,7.45
4.751849,8217,8216,0,21,7.45
4.851888,8217,8216,0,21,7.45
4.951848,8217,8216,0,21,7.45
5.051884,8217,8216,0,21,7.45
5.15185,8217,8216,0,21,7.45
5.251883,8217,8216,0,21,7.45
5.351851,8217,8216,0,21,7.45
5.451881,8217,8216,0,21,7.45
5.551848,8217,8216,0,21,7.44
5.651883,8217,8216,0,21,7.44
5.751848,8217,8216,0,21,7.44
5.851888,8217,8216,0,21,7.44
5.95185,8217,8216,0,21,7.44
6.051884,8217,8216,0,21,7.44
6.151848,8217,8216,0,21,7.44
6.251882,8217,8216,0,21,7.44
6.351852,8217,8216,0,21,6.1
6.451884,8217,8216,0,21,6.1
6.551848,8217,8216,0,21,6.09
6.651884,8217,8216,0,21,6.09
6.751848,8217,8216,0,21,6.09
6.851894,8217,8216,0,21,6.09
6.951848,8217,8216,0,21,6.09
7.051884,8217,8216,0,21,6.09
7.15185,8217,8216,0,21,6.1
7.251885,8217,8216,0,21,6.1
7.351858,8217,8216,0,21,6.1
7.451884,8217,8216,0,21,6.1
7.551859,8217,8216,0,21,6.1
7.651883,8217,8216,0,21,6.1
7.751849,8217,8216,0,21,6.1
7.851886,8217,8216,0,21,6.1
7.951847,8217,8216,0,21,6.1
8.051884,8217,8216,0,21,6.1
8.151849,8217,8216,0,21,6.1
8.251882,8217,8216,0,21,6.1
8.351851,8217,8216,0,21,6.1
8.451884,8217,8216,0,21,6.1
8.551849,8217,8216,0,21,6.1
8.651892,8217,8216,0,21,6.1
8.751847,8220,8216,0,21,6.1
8.851895,8221,8216,0,21,6.07
8.951848,8219,8216,0,21,6.07
9.051883,8221,8216,0,21,6.07
9.151849,8216,8216,0,21,6.05
9.251903,8216,8216,0,21,6.05
9.351849,8216,8216,0,21,6.09
9.451898,8216,8216,0,21,6.09
9.551849,8216,8216,0,21,6.09
9.651922,8216,8216,0,21,6.09
9.751849,8216,8216,0,21,6.09
9.851884,8216,8216,0,21,6.09
