t__s,ACT_RUDDER.Position_CMD,ACT_RUDDER.Position_FB,ACT_RUDDER.Torque_FB,ACT_RUDDER.Temperature_FB__dC,ACT_RUDDER.Voltage_FB__V
0.051884,8308,8312,0,26,6.03
0.151849,8308,8312,0,26,6.02
0.251883,8308,8312,0,26,6.02
0.351851,8308,8312,0,26,6.02
0.451883,8308,8312,0,26,6.02
0.551865,8308,8312,0,26,6.04
0.651882,8308,8312,0,26,6.04
0.751886,8308,8312,0,26,6.04
0.851886,8308,8312,0,26,6.04
0.951863,8308,8312,0,26,6.04
1.051883,8431,8340,0,26,6.04
1.151866,8278,8272,0,26,6.04
1.251881,8298,8288,93,26,6.04
1.351851,8312,8304,93,26,7.37
1.451882,8323,8316,93,26,7.37
1.551847,8330,8324,93,26,7.37
1.651885,8336,8328,76,26,7.37
1.751847,8340,8332,76,26,7.37
1.851886,8343,8336,76,26,7.38
1.951846,8345,8340,46,26,7.38
2.051886,8347,8340,46,26,7.38
2.151848,8348,8344,46,26,7.37
2.251891,8349,8344,46,26,7.37
2.351851,8350,8344,46,26,7.37
2.451885,8350,8344,46,26,7.37
2.551856,8351,8348,46,26,7.37
2.651886,8351,8348,0,26,7.37
2.751848,8351,8348,0,26,7.37
2.851886,8351,8348,0,26,7.37
2.951847,8352,8348,0,26,7.37
3.051883,8352,8348,0,26,7.37
3.151849,8352,8348,0,26,7.37
3.251884,8352,8348,0,26,7.37
3.351878,8352,8348,0,26,7.36
3.451883,8352,8348,0,26,7.36
3.551877,8352,8348,0,26,7.36
3.651885,8352,8348,0,26,7.36
3.751849,8352,8348,0,26,7.36
3.851886,8352,8348,0,26,7.38
3.951848,8352,8348,0,26,7.38
4.051884,8352,8348,0,26,7.38
4.15185,8352,8348,0,26,7.38
4.251884,8352,8348,0,26,7.38
4.351851,8352,8348,0,26,7.38
4.451885,8352,8348,0,26,7.38
4.551846,8352,8348,0,26,7.38
4.651904,8352,8348,0,26,7.38
4.751849,8352,8348,0,26,7.38
