t__s,ACT_RUDDER.Position_CMD,ACT_RUDDER.Position_FB,ACT_RUDDER.Torque_FB,ACT_RUDDER.Temperature_FB__dC,ACT_RUDDER.Voltage_FB__V
0.071958,8288,8284,0,16,6.1
0.171982,8288,8284,0,16,6.1
0.27196,8288,8284,0,16,6.1
0.371961,8288,8284,0,16,6.1
0.47196,8288,8284,0,16,6.1
0.571984,8288,8284,0,16,6.1
0.67196,8288,8284,0,16,6.1
0.771984,8288,8284,0,16,6.1
0.871968,8288,8284,0,16,6.1
0.971985,8288,8284,0,16,6.1
1.083939,8793,8372,109,16,6.1
1.183934,8293,8716,109,16,6.1
1.28394,8296,8300,109,16,7.45
1.383912,8304,8292,56,16,7.45
1.483945,8314,8304,56,16,7.45
1.583937,8322,8316,56,16,7.45
1.683937,8328,8320,56,16,7.46
1.783934,10172,8404,2404,16,7.46
1.883939,6652,9976,2404,16,7.46
1.983904,6652,8288,2404,16,7.37
2.083949,8791,6776,2144,16,7.37
2.183926,10172,8544,2144,16,7.37
2.283939,10172,10136,2144,16,7.44
2.383904,6652,9456,2943,16,7.44
2.48395,10172,7468,2943,16,7.36
2.583903,10172,8392,2943,16,7.36
2.68394,10129,10108,2943,16,7.45
2.783903,9667,9916,615,16,7.45
2.883956,6652,9452,615,16,7.45
2.983909,6725,7644,615,16,7.41
3.083976,7937,6748,63,16,7.41
3.183944,9144,7612,63,16,7.41
3.283968,8683,8968,63,16,7.44
3.383913,8195,8012,1254,16,7.44
3.48397,7829,8028,1254,16,7.42
3.583903,9072,7788,1254,16,7.42
3.683968,8640,8452,1254,16,7.43
3.783905,6652,7960,3137,16,7.43
3.88394,9199,7332,3137,16,7.43
3.983903,7852,8792,3137,16,7.34
4.083946,8395,8100,334,16,7.34
4.183934,8845,8592,334,16,7.34
4.283948,10172,8780,334,16,7.26
4.383906,8242,9552,312,16,7.26
4.483942,8184,8312,312,16,7.35
4.583903,8947,8288,312,16,7.35
4.683947,8317,8432,312,16,7.42
