t__s,ACT_AILERON_LEFT.Position_CMD,ACT_AILERON_LEFT.Position_FB,ACT_AILERON_LEFT.Torque_FB,ACT_AILERON_LEFT.Temperature_FB__dC,ACT_AILERON_LEFT.Voltage_FB__V
0.011994,7258,7268,245,19,6.02
0.112017,7258,7268,245,19,5.98
0.211993,7258,7268,245,19,5.98
0.312016,7258,7268,245,19,5.99
0.411962,7258,7268,259,19,5.99
0.512015,7258,7268,259,19,5.99
0.612002,7258,7268,259,19,6.01
0.712024,7258,7268,98,19,6.01
0.811995,7258,7268,98,19,6.01
0.912017,7258,7268,98,19,6.01
1.020021,7834,7268,109,19,6.01
1.119993,7960,7868,109,19,6.05
1.220027,7960,7956,109,19,6.05
1.319991,7961,7952,109,19,7.44
1.420021,7961,7956,40,19,7.44
1.519992,7961,7956,40,19,7.44
1.619991,7961,7956,40,19,7.43
1.719992,7961,7956,54,19,7.43
1.819992,7961,7956,54,19,7.43
1.919991,7961,7956,54,19,7.44
2.019993,7961,7956,59,19,7.44
2.119991,7961,7956,59,19,7.44
2.219991,7961,7956,59,19,7.44
2.319991,7961,7956,59,19,7.44
2.419995,7961,7956,66,19,7.44
2.51999,7961,7956,66,19,7.44
2.619994,7961,7956,66,19,7.44
2.719992,7961,7956,71,19,7.44
2.819992,7961,7956,71,19,7.44
2.919999,7961,7956,71,19,7.44
3.020001,7961,7956,76,19,7.44
3.120002,7961,7956,76,19,7.44
3.219992,7961,7956,76,19,7.44
3.319991,7961,7956,76,19,7.44
3.41999,7961,7956,83,19,7.44
3.519992,7961,7956,83,19,7.44
3.620043,7961,7956,83,19,7.44
3.71999,7961,7956,88,19,7.44
3.819993,7961,7956,88,19,7.44
3.919992,7960,7960,88,19,7.44
4.020001,7959,7956,0,19,7.44
4.119991,7959,7956,0,19,7.44
4.219995,7959,7956,0,19,7.44
4.319991,7959,7956,0,19,7.44
4.419992,7959,7956,0,19,7.44
4.519992,8272,8120,0,19,7.44
4.619991,8272,8256,0,19,7.43
4.719991,8272,8256,185,19,7.43
4.819997,8272,8256,185,19,7.43
4.919992,8272,8260,185,19,7.43
5.019993,7959,8192,1284,19,7.43
5.119991,7959,7964,1284,19,7.44
5.219993,7959,7964,1284,19,7.44
5.320025,7551,7892,1284,19,7.32
5.419993,6556,6872,1515,19,7.32
5.519992,6556,6572,1515,19,7.32
5.619993,6556,6568,1515,19,7.42
5.719992,7975,6636,2416,19,7.42
5.819991,7951,7924,2416,19,7.42
5.919991,7946,7944,2416,19,7.44
6.019994,7960,7944,146,19,7.44
6.119991,7970,7960,146,19,7.44
6.219992,7971,7964,146,19,7.44
6.319996,7975,7964,146,19,6.09
6.419993,7963,7968,46,19,6.09
6.519992,7962,7960,46,19,6.09
6.619991,7960,7960,46,19,6.09
6.71999,7845,7928,484,19,6.09
6.819992,7812,7820,484,19,6.09
6.919992,7810,7816,484,19,6.09
7.019995,7823,7816,59,19,6.09
7.119992,7944,7884,59,19,6.04
7.219993,7960,7948,59,19,6.04
7.319992,7960,7956,59,19,6.09
7.420026,7960,7956,0,19,6.09
7.519994,7960,7956,0,19,6.09
7.619993,7960,7952,0,19,6.09
7.720012,7960,7956,0,19,6.09
7.819993,7960,7956,0,19,6.09
7.920027,7960,7956,0,19,6.09
8.019995,7960,7956,0,19,6.09
8.120021,7960,7956,0,19,6.09
8.219992,7960,7956,0,19,6.09
8.320008,7960,7956,0,19,6.09
8.419994,7960,7956,0,19,6.09
8.52001,7960,7956,0,19,6.09
8.619994,7960,7956,0,19,6.09
8.719993,7960,7956,0,19,6.09
8.819994,7960,7956,0,19,6.09
8.919992,7960,7956,0,19,6.09
9.019993,7960,7956,0,19,6.09
9.119992,7960,7956,0,19,6.09
9.219994,7960,7956,0,19,6.09
9.319993,7960,7956,0,19,6.09
9.419993,7960,7956,0,19,6.09
9.519989,7960,7956,0,19,6.09
9.619993,7960,7956,0,19,6.09
9.719993,7960,7956,0,19,6.09
9.819994,7960,7956,0,19,6.09
9.919992,7960,7956,0,19,6.09
10.020022,7960,7956,0,19,6.09
10.119991,7960,7956,0,19,6.09
10.219995,7960,7956,0,19,6.09
10.319992,7960,7956,0,19,6.09
10.419992,7960,7952,286,19,6.09
10.519994,7960,7956,286,19,6.09
10.619992,7960,7956,286,19,6.09
10.719992,7960,7956,0,19,6.09
10.819991,7960,7956,0,19,6.09
10.919992,7960,7956,0,19,6.09
11.020002,7960,7956,0,19,6.09
11.119992,7960,7956,0,19,6.09
11.219994,7960,7956,0,19,6.09
11.319993,7960,7956,0,19,6.09
11.419994,7960,7956,0,19,6.09
11.519991,7960,7956,0,19,6.09
11.619992,7960,7952,0,19,6.09
11.719991,7960,7956,0,19,6.09
11.819993,7960,7956,0,19,6.09
11.92,7960,7956,0,19,6.09
12.020023,7960,7956,0,19,6.09
12.119999,7960,7956,0,19,6.09
12.219995,7960,7956,0,19,6.09
12.319991,7960,7956,0,19,6.09
12.420045,7960,7956,0,19,6.09
12.520043,7960,7956,0,19,6.09
12.620044,7960,7956,0,19,6.09
12.720069,7960,7956,0,19,6.09
12.820045,7960,7956,0,19,6.09
12.920094,7960,7952,0,19,6.09
13.020015,7960,7956,0,19,6.09
13.120088,7960,7956,0,19,6.09
13.220049,7960,7956,0,19,6.09
13.320041,7960,7956,0,19,6.09
13.420051,7960,7956,286,19,6.09
13.52005,7960,7956,286,19,6.09
13.620042,7960,7956,286,19,6.09
13.720042,7960,7956,0,19,6.09
13.820044,7960,7956,0,19,6.09
13.920047,7960,7956,0,19,6.09
14.020048,7960,7952,0,19,6.09
14.120042,7960,7956,0,19,6.09
14.220046,7960,7952,0,19,6.09
14.320047,7960,7956,0,19,6.09
14.420044,7960,7956,0,19,6.09
14.520043,7960,7956,0,19,6.09
14.620041,7960,7952,0,19,6.09
14.720043,7960,7956,0,19,6.09
14.820058,7960,7956,0,19,6.09
14.920042,7960,7956,0,19,6.09
15.020078,7960,7956,0,19,6.09
15.120043,7960,7956,0,19,6.09
15.220081,7960,7956,0,19,6.09
15.320041,7960,7956,0,19,6.09
15.420075,7960,7956,0,19,6.09
15.520042,7960,7956,0,19,6.09
15.62006,7960,7956,0,19,6.09
15.720043,7960,7956,0,19,6.09
15.820043,7960,7956,0,19,6.09
15.920043,7960,7956,0,19,6.09
16.020053,7960,7956,0,19,6.09
16.12004,7960,7956,0,19,6.09
16.220043,7960,7956,0,19,6.09
16.32007,7960,7956,0,19,6.09
16.420044,7960,7956,0,19,6.09
16.520042,7960,7956,0,19,6.09
16.620044,7960,7956,0,19,6.09
16.720048,7960,7956,0,19,6.09
16.820043,7960,7956,0,19,6.09
16.920043,7960,7956,0,19,6.09
17.020043,7960,7956,0,19,6.09
17.120044,7681,7956,0,19,6.09
17.220051,7693,7692,0,19,6.09
17.320041,7753,7712,0,19,6.09
17.420043,7834,7796,80,19,6.09
17.520043,7832,7840,80,19,6.09
17.619993,7809,7824,80,19,6.09
17.71999,7834,7816,100,19,6.09
17.819993,7869,7848,100,19,6.09
17.919991,7876,7876,100,19,6.09
18.019994,7844,7868,110,19,6.09
18.119994,7817,7832,110,19,6.09
18.219994,7830,7816,110,19,6.09
18.319999,7882,7856,110,19,6.09
18.419993,7908,7896,139,19,6.09
18.519992,7889,7900,139,19,6.09
