t__s,ACT_AILERON_RIGHT.Position_CMD,ACT_AILERON_RIGHT.Position_FB,ACT_AILERON_RIGHT.Torque_FB,ACT_AILERON_RIGHT.Temperature_FB__dC,ACT_AILERON_RIGHT.Voltage_FB__V
0.011992,8858,8852,146,27,6.01
0.112017,8858,8852,146,27,6.03
0.211992,8858,8852,155,27,6.03
0.31199,8858,8852,155,27,6.03
0.411993,8858,8852,155,27,6.05
0.512007,8858,8852,162,27,6.05
0.611991,8858,8852,162,27,6.05
0.711992,8858,8848,162,27,6.02
0.811991,8858,8848,97,27,6.02
0.911991,8858,8852,97,27,6.05
1.020008,8236,8848,97,27,6.05
1.120003,8168,8196,97,27,6.01
1.220011,8168,8176,73,27,6.01
1.32001,8168,8172,73,27,6.01
1.42001,8168,8176,73,27,7.45
1.520014,8168,8176,286,27,7.45
1.62001,8167,8172,286,27,7.45
1.720008,8167,8172,286,27,7.45
1.820001,8167,8172,51,27,7.45
1.920011,8190,8188,51,27,7.45
2.020006,9539,9244,51,27,7.45
2.120008,9539,9528,51,27,7.43
2.220003,9539,9528,238,27,7.43
2.32,9539,9528,238,27,7.43
2.420003,9539,9528,238,27,7.44
2.520002,7899,8896,2798,27,7.44
2.62,7837,7872,2798,27,7.44
2.72,7837,7852,2798,27,7.44
2.820004,7837,7852,167,27,7.44
2.920002,7837,7852,167,27,7.44
3.020003,7837,7852,167,27,7.44
3.120002,7837,7852,167,27,7.44
3.220003,7837,7852,187,27,7.44
3.319996,8001,7976,187,27,7.44
3.420002,8180,8172,187,27,7.45
3.52001,8233,8220,116,27,7.45
3.620002,8135,8184,116,27,7.45
3.720003,8112,8120,116,27,7.45
3.820002,8118,8124,54,27,7.45
3.920008,8118,8124,54,27,7.45
4.020002,8118,8124,54,27,7.45
4.119997,8123,8124,54,27,7.45
4.22,8186,8176,0,27,7.45
4.320003,8242,8236,0,27,7.45
4.420002,8218,8228,0,27,7.46
4.520023,8213,8220,63,27,7.46
4.62,8222,8220,63,27,7.46
4.720037,8229,8240,63,27,7.45
4.820003,8212,8220,76,27,7.45
4.920028,8211,8216,76,27,7.45
5.020001,8210,8216,76,27,7.45
5.120002,8210,8216,76,27,7.45
5.220003,8210,8216,61,27,7.45
5.319998,8208,8216,61,27,7.45
5.42399,8208,8212,61,27,7.45
5.524054,8208,8212,0,27,7.45
5.623991,8208,8212,0,27,7.45
5.724029,8208,8212,0,27,7.45
5.823995,8208,8212,0,27,7.45
5.924029,8208,8212,0,27,7.45
6.023991,8208,8212,0,27,7.45
6.124056,8208,8212,0,27,7.45
6.224001,8208,8212,0,27,7.45
6.324049,8208,8212,0,27,7.45
6.423991,8208,8212,0,27,6.1
6.52405,8208,8212,0,27,6.1
6.624022,8208,8212,0,27,6.1
6.724029,8208,8212,0,27,6.11
6.823992,8208,8212,0,27,6.11
6.924031,8208,8212,0,27,6.1
7.023992,8208,8212,0,27,6.1
7.124028,8208,8212,0,27,6.1
7.224008,8208,8212,0,27,6.1
7.324027,8208,8212,0,27,6.1
7.423992,8208,8212,0,27,6.1
7.524033,8208,8212,0,27,6.1
7.624016,8208,8212,0,27,6.1
7.724028,8208,8212,0,27,6.1
7.823992,8208,8212,0,27,6.1
7.924031,8208,8212,0,27,6.1
8.023992,8208,8212,0,27,6.1
8.124048,8208,8212,0,27,6.1
8.224039,8209,8212,0,27,6.1
8.324028,8209,8212,0,27,6.1
8.424022,8209,8212,0,27,6.1
8.524034,8209,8212,0,27,6.1
8.623991,8209,8212,0,27,6.1
8.724036,8209,8212,0,27,6.1
8.823992,8209,8212,0,27,6.1
8.924038,8209,8212,0,27,6.1
9.023991,8209,8212,0,27,6.1
9.124046,8208,8212,0,27,6.1
9.224009,8208,8212,0,27,6.1
9.324061,8235,8220,0,27,6.1
9.423991,8225,8228,0,27,6.1
9.524058,8227,8228,0,27,6.1
9.623991,8236,8236,0,27,6.1
9.724057,8236,8236,0,27,6.1
9.823991,8229,8236,278,27,6.1
9.924046,8226,8232,278,27,6.1
10.023992,8232,8232,278,27,6.1
10.124028,8240,8232,278,27,6.1
10.224013,8236,8236,0,27,6.1
10.324031,8226,8232,0,27,6.1
10.423992,8233,8232,0,27,6.1
10.524043,8238,8232,54,27,6.1
10.623991,8230,8232,54,27,6.1
10.724027,8231,8232,54,27,6.1
10.827988,8233,8232,0,27,6.1
10.927989,8232,8232,0,27,6.1
11.027987,8238,8232,0,27,6.1
11.127987,8233,8232,0,27,6.1
11.227989,8230,8232,0,27,6.1
11.327988,8254,8240,0,27,6.1
11.427987,8253,8256,0,27,5.98
11.527998,8238,8252,75,27,5.98
11.627988,8238,8244,75,27,5.98
11.727994,8232,8240,75,27,5.96
11.827989,8217,8228,105,27,5.96
11.928005,8214,8224,105,27,5.93
12.027988,8212,8220,105,27,5.93
12.128002,8213,8216,105,27,5.93
12.227987,8215,8216,0,27,5.93
12.328003,8209,8216,0,27,5.93
12.427966,8199,8204,0,27,6.01
12.527965,8205,8204,0,27,6.01
12.627959,8210,8208,0,27,6.01
12.727983,8211,8208,0,27,6.05
12.827982,8204,8208,0,27,6.05
12.927962,8201,8208,0,27,5.96
13.027959,8194,8204,0,27,5.96
13.127959,8192,8196,0,27,5.97
13.227959,8198,8200,0,27,5.97
13.327959,8194,8200,0,27,5.97
13.427959,8190,8200,0,27,5.97
13.527958,8187,8196,88,27,5.97
13.627982,8185,8196,88,27,5.97
13.727988,8182,8192,88,27,5.98
13.827959,8180,8188,78,27,5.98
13.92796,8177,8188,78,27,5.96
14.027965,8176,8184,78,27,5.96
14.12796,8176,8184,78,27,5.97
14.22796,8176,8184,100,27,5.97
14.32796,8176,8184,100,27,5.97
14.427966,8176,8184,100,27,5.97
14.527958,8176,8184,109,27,5.97
14.627959,8176,8184,109,27,5.97
14.72799,8176,8184,109,27,5.99
14.82796,8176,8184,117,27,5.99
14.927958,8176,8180,117,27,6.03
15.027991,8176,8180,117,27,6.03
15.127984,8176,8180,117,27,5.94
15.227991,8176,8180,204,27,5.94
15.327984,8176,8184,204,27,5.94
15.427986,8176,8180,204,27,6.1
15.527986,8176,8184,204,27,6.1
15.627985,8176,8180,204,27,6.1
15.728001,8176,8180,204,27,6.07
15.827985,8176,8180,0,27,6.07
15.927985,8176,8180,0,27,6.1
16.027985,8176,8180,0,27,6.1
16.127985,8176,8180,0,27,6.08
16.227984,8176,8180,0,27,6.08
16.327986,8176,8180,0,27,6.08
16.427985,8176,8180,0,27,6.1
16.52799,8176,8180,0,27,6.1
16.627986,8176,8180,0,27,6.1
16.728003,8176,8180,0,27,6.09
16.827986,8176,8180,0,27,6.09
16.927985,8176,8180,0,27,6.1
17.027984,8176,8180,0,27,6.1
17.127986,8176,8180,0,27,6.1
17.227984,8176,8180,0,27,6.1
17.327985,8176,8180,0,27,6.1
17.427985,8176,8180,0,27,6.1
17.527984,8176,8180,0,27,6.1
17.627985,8176,8180,0,27,6.1
17.728004,8176,8180,0,27,6.1
17.827992,8176,8180,0,27,6.1
17.927985,8176,8180,0,27,6.1
18.027984,8176,8180,0,27,6.1
18.127985,8176,8180,0,27,6.1
18.227986,8176,8180,0,27,6.1
18.327984,8176,8180,0,27,6.1
18.427987,8176,8180,0,27,6.1
18.527985,8176,8180,0,27,6.1
18.628021,8176,8180,0,27,6.1
18.728003,8176,8180,0,27,6.1
18.828015,8176,8180,0,27,6.1
18.927987,8176,8180,0,27,6.1
19.028012,8176,8180,0,27,6.1
19.127984,8176,8180,0,27,6.1
19.227985,8176,8180,0,27,6.1
19.327985,8176,8180,0,27,6.1
19.427984,8176,8180,0,27,6.09
19.527986,8176,8180,0,27,6.09
19.627984,8176,8180,0,27,6.09
19.728002,8176,8180,0,27,6.1
19.827985,8176,8180,0,27,6.1
19.927986,8176,8180,0,27,6.08
20.027984,8176,8180,0,27,6.08
20.127986,8176,8180,0,27,6.1
20.227987,8176,8180,0,27,6.1
20.327985,8176,8180,0,27,6.1
20.427986,8176,8180,0,27,6.08
20.528004,8176,8180,0,27,6.08
20.627985,8176,8180,0,27,6.08
20.728016,8176,8180,0,27,6.1
20.827985,8176,8180,0,27,6.1
20.927999,8176,8180,0,27,6.1
21.027986,8176,8180,0,27,6.1
21.128002,8176,8180,0,27,6.07
21.227985,8176,8180,0,27,6.07
21.327986,8176,8180,0,27,6.07
21.427985,8176,8180,0,27,6.07
21.527986,8176,8180,0,27,6.07
21.627985,8176,8180,0,27,6.07
21.728003,8176,8180,0,27,6.1
