t__s,ACT_TILT_CENTER_REAR.Position_CMD,ACT_TILT_CENTER_REAR.Position_FB,ACT_TILT_CENTER_REAR.Torque_FB,ACT_TILT_CENTER_REAR.Temperature_FB__dC,ACT_TILT_CENTER_REAR.Voltage_FB__V
0,6088,6080,233,38,6.13
0.099832,6088,6080,283,38,6.13
0.199807,6088,6080,283,38,6.13
0.299829,6088,6080,283,38,6.13
0.399809,6088,6080,283,38,6.13
0.499831,6088,6080,349,38,6.13
0.599808,6088,6080,349,38,6.13
0.699831,6088,6080,349,38,6.13
0.799945,6088,6080,397,38,6.13
0.899831,6088,6080,397,38,6.13
0.999945,6088,6080,397,38,6.13
1.099856,6088,6080,447,38,6.13
1.199843,6088,6080,447,38,6.11
1.299863,6088,6080,447,38,6.11
1.399844,6088,6080,447,38,7.46
1.499854,6088,6080,513,38,7.46
1.599856,6088,6080,513,38,7.46
1.699856,6088,6080,513,38,7.46
1.799843,6088,6080,561,38,7.46
1.899855,6088,6080,561,38,7.46
1.999835,6088,6080,561,38,7.45
2.099865,6088,6080,610,38,7.45
2.199835,6088,6080,610,38,7.44
2.299862,6088,6080,610,38,7.44
2.399841,6088,6080,610,38,7.47
2.499863,6088,6080,163,38,7.47
2.599979,6088,6080,163,38,7.47
2.699855,6088,6080,163,38,7.47
2.799839,6088,6080,213,38,7.47
2.899856,6088,6080,213,38,7.47
2.999842,6088,6080,213,38,7.47
3.099856,6088,6080,262,38,7.47
3.199842,6088,6080,262,38,7.47
3.299854,6088,6080,262,39,7.47
3.399834,6088,6080,262,39,7.47
3.499854,6088,6080,327,39,7.47
3.599856,6088,6080,327,39,7.47
3.699855,6088,6080,327,39,7.47
3.799833,6088,6080,377,39,7.47
3.899855,6088,6080,377,39,7.47
3.999841,6088,6080,377,39,7.46
4.099864,6088,6080,426,39,7.46
4.199841,6088,6080,426,39,7.46
4.299856,6088,6080,426,39,7.46
4.399834,6088,6080,426,39,7.46
4.499856,6088,6080,491,39,7.46
4.599864,6088,6080,491,39,7.46
4.699856,6088,6080,491,39,7.46
4.799834,6088,6080,540,39,7.46
4.899855,6088,6080,540,39,7.46
4.999835,6088,6080,540,39,7.45
5.099855,6088,6080,590,39,7.45
5.199845,6088,6080,590,39,7.45
5.299856,6088,6080,590,39,7.45
5.399842,6088,6080,590,39,7.45
5.499855,6088,6080,141,39,7.45
5.599863,6088,6080,141,39,7.45
5.699864,6088,6080,141,39,7.47
5.799885,6088,6080,191,39,7.47
5.899855,6088,6080,191,39,7.47
5.999855,6088,6080,191,39,7.47
6.099864,6088,6080,240,39,7.47
6.199852,6088,6080,240,39,7.47
6.299863,6088,6080,240,39,7.47
6.399867,6088,6080,240,39,6.13
