t__s,ACT_ELEVATOR.Position_CMD,ACT_ELEVATOR.Position_FB,ACT_ELEVATOR.Torque_FB,ACT_ELEVATOR.Temperature_FB__dC,ACT_ELEVATOR.Voltage_FB__V
-0.007997,8348,8352,0,11,6.07
0.092026,8348,8352,0,11,6.07
0.192002,8348,8352,0,11,6.07
0.292038,8348,8352,0,11,6.07
0.392001,8348,8352,0,11,6.07
0.492033,8348,8352,0,11,6.07
0.592,8348,8352,0,11,6.07
0.692025,8348,8352,0,11,6.08
0.792,8348,8352,0,11,6.08
0.892003,8348,8352,0,11,6.08
1.003968,8659,8352,0,11,6.08
1.103999,8655,8608,0,11,6.08
1.203973,8655,8652,0,11,6.07
1.303991,8655,8652,0,11,6.07
1.403967,8655,8652,0,11,6.07
1.503989,8655,8652,0,11,7.41
1.603969,8655,8652,0,11,7.41
1.703994,8655,8652,0,11,7.42
1.803968,8655,8652,0,11,7.42
1.903989,8655,8652,0,11,7.42
2.003977,8655,8652,0,11,7.42
2.104023,8655,8652,0,11,7.42
2.203967,8655,8652,0,11,7.41
2.304019,8655,8652,0,11,7.41
2.403966,8655,8652,0,11,7.41
2.504006,8655,8652,0,11,7.41
2.603967,8655,8652,0,11,7.41
2.70399,8655,8652,0,11,7.41
2.803966,8655,8652,0,11,7.41
2.903991,8655,8652,0,11,7.41
3.003977,8655,8652,0,11,7.41
3.103991,8655,8652,0,11,7.41
3.203968,8655,8652,0,11,7.42
3.30399,8655,8652,0,11,7.42
3.403967,8655,8652,0,11,7.42
3.503992,8655,8652,0,11,7.42
3.603967,8655,8652,0,11,7.42
3.703992,8655,8652,0,11,7.42
3.803968,8655,8652,0,11,7.42
3.903991,8655,8652,0,11,7.42
4.003967,8655,8652,0,11,7.42
4.103991,8655,8652,0,11,7.42
4.203967,8655,8652,0,11,7.41
4.303992,8655,8652,0,11,7.41
4.403968,8655,8652,0,11,7.41
4.503991,8655,8652,0,11,7.41
4.603968,8655,8652,0,11,7.41
4.703991,8655,8652,0,11,7.41
4.803968,8655,8652,0,11,7.41
4.904031,8655,8652,0,11,7.41
5.003967,8655,8652,0,11,7.41
5.103991,8655,8652,0,11,7.41
5.203968,8655,8652,0,11,7.41
5.30399,8655,8652,0,11,7.41
5.403969,8655,8652,0,11,7.41
5.503993,8655,8652,0,11,7.42
5.603967,8655,8652,0,11,7.42
5.703992,8655,8652,0,11,7.41
5.803968,8655,8652,0,11,7.41
5.903998,8655,8652,0,11,7.42
6.00397,8655,8652,0,11,7.42
6.104007,8654,8652,0,11,7.42
6.203986,8654,8652,0,11,7.42
6.304027,8654,8652,0,11,7.42
6.404019,8654,8652,0,11,7.42
6.504007,8654,8652,0,11,6.08
6.603985,8651,8652,0,11,6.08
6.703991,8680,8652,0,11,6.08
6.803975,8678,8668,0,11,6.08
6.903999,8673,8672,0,11,6.08
7.003967,8693,8672,174,11,6.08
7.103989,8685,8684,174,11,6.08
7.203968,8677,8680,174,11,6.07
7.303992,8687,8676,100,11,6.07
7.403976,8684,8680,100,11,6.07
7.50399,8681,8680,100,11,6.06
7.603968,8681,8680,0,11,6.06
7.703989,8656,8680,0,11,6.07
7.803965,8654,8664,0,11,6.07
7.903991,8656,8664,0,11,6.07
8.003968,8664,8660,0,11,6.07
8.10399,8643,8660,0,11,6.07
8.203969,8653,8652,0,11,6
8.303999,8657,8656,0,11,6
8.403967,8657,8656,0,11,6
8.50399,8651,8656,0,11,6.07
8.603968,8636,8648,112,11,6.07
8.703993,8633,8644,112,11,6.06
8.80397,8632,8644,112,11,6.06
8.903992,8632,8644,112,11,6.06
9.003985,8632,8644,127,11,6.06
9.10399,8632,8640,127,11,6.06
9.203968,8632,8640,127,11,6.07
9.303996,8632,8640,98,11,6.07
9.403966,8692,8640,98,11,6.07
9.503992,8658,8668,98,11,6.02
9.603968,8658,8664,81,11,6.02
9.703992,8658,8664,81,11,6.06
9.803968,8682,8664,81,11,6.06
9.90399,8688,8672,81,11,6.06
10.003965,8688,8676,85,11,6.06
10.103992,9162,8676,85,11,6.06
10.203966,9523,9116,85,11,5.97
10.30399,9523,9520,0,11,5.97
10.403967,9523,9520,0,11,5.97
10.503991,9523,9520,0,11,6.07
10.603968,9523,9520,0,11,6.07
10.703991,9523,9520,0,11,6.08
10.803968,9523,9520,0,11,6.08
10.903994,9523,9520,0,11,6.07
11.003974,9523,9520,0,11,6.07
11.103991,9523,9520,0,11,6.07
11.203966,8727,9520,0,11,6.08
11.303993,8650,8800,945,11,6.08
11.403993,8650,8652,945,11,6.08
11.50399,8643,8652,945,11,6.08
11.603996,8641,8648,184,11,6.08
11.70399,8640,8648,184,11,6.08
11.803997,8642,8648,184,11,6.08
11.90399,7873,8596,184,11,5.97
12.003984,7873,7916,273,11,5.97
12.103991,7873,7876,273,11,5.97
12.203976,7873,7876,273,11,6.08
12.30399,7873,7876,0,11,6.08
12.403967,7873,7876,0,11,6.08
12.503991,7873,7876,0,11,6.08
12.603968,7873,7876,0,11,6.08
12.703991,7873,7876,0,11,6.08
12.803966,7873,7876,0,11,6.08
12.903991,8536,7876,0,11,6.08
13.003969,8651,8392,1173,11,6.08
13.103992,8651,8648,1173,11,6.08
13.203967,8651,8648,1173,11,6.08
13.30399,8651,8652,0,11,6.08
13.403966,8651,8648,0,11,6.08
13.503991,8651,8648,0,11,6.08
13.603968,8651,8648,0,11,6.08
13.703991,8651,8648,0,11,6.07
13.803976,8651,8648,0,11,6.07
13.903991,8651,8648,0,11,6.08
14.003967,8651,8648,0,11,6.08
14.103989,8651,8648,0,11,6.08
14.203968,8651,8648,0,11,6.08
14.303991,8651,8648,0,11,6.08
14.403967,8651,8648,0,11,6.08
14.503991,8651,8648,0,11,6.08
14.603968,8651,8648,0,11,6.08
14.703991,8651,8648,0,11,6.08
14.803968,8651,8648,0,11,6.08
14.90399,8651,8648,0,11,6.08
15.003969,8651,8648,0,11,6.08
15.103991,8651,8648,0,11,6.08
15.203967,8651,8648,0,11,6.08
15.303991,8651,8648,0,11,6.08
15.40397,8651,8648,0,11,6.08
15.503991,8651,8648,0,11,6.08
15.603979,8651,8648,0,11,6.08
15.703991,8651,8652,0,11,6.08
15.803996,8651,8648,0,11,6.08
15.903999,8651,8648,0,11,6
16.003984,8651,8648,0,11,6
16.103991,8651,8648,0,11,6
16.203967,8651,8648,0,11,6.08
16.303992,8651,8648,0,11,6.08
16.403968,8651,8648,0,11,6.08
16.503991,8651,8648,0,11,6.08
16.603967,8651,8648,0,11,6.08
16.703989,8651,8648,0,11,6.08
16.803967,8651,8648,0,11,6.08
16.90399,8651,8648,0,11,6.08
17.003967,8651,8648,0,11,6.08
17.10399,8651,8648,0,11,6.08
17.203967,8651,8648,0,11,6.08
17.303991,8651,8648,0,11,6.08
17.403969,8651,8648,0,11,6.08
17.503991,8651,8648,0,11,6.08
17.603974,8651,8648,0,11,6.08
17.70399,8651,8648,0,11,6.08
17.803967,8651,8648,0,11,6.08
17.903994,8651,8648,0,11,6.08
18.003978,8651,8648,0,11,6.08
18.10399,8651,8648,0,11,6.08
18.203978,8651,8648,0,11,6.08
18.303992,8651,8648,0,11,6.08
18.403968,8651,8648,0,11,6.08
18.503991,8651,8648,0,11,6.08
18.603967,8651,8648,0,11,6.08
18.70399,8651,8648,0,11,6.08
18.803967,8651,8652,0,11,6.08
18.903991,8651,8648,0,11,6.08
19.003967,8651,8652,0,11,6.08
19.104008,8651,8648,0,11,6.08
19.203966,8651,8648,0,11,6.08
