t__s,ACT_AILERON_RIGHT.Position_CMD,ACT_AILERON_RIGHT.Position_FB,ACT_AILERON_RIGHT.Torque_FB,ACT_AILERON_RIGHT.Temperature_FB__dC,ACT_AILERON_RIGHT.Voltage_FB__V
0.011929,8932,8920,264,13,5.98
0.111929,8932,8920,264,13,5.97
0.211931,8932,8920,110,13,5.97
0.311929,8932,8920,110,13,5.97
0.411929,8932,8920,110,13,6
0.51193,8932,8920,122,13,6
0.61193,8932,8920,122,13,6
0.71193,8932,8920,122,13,6
0.811929,8932,8920,134,13,6
0.911931,8932,8920,134,13,6.01
1.024014,8231,8920,134,13,6.01
1.123988,8220,8256,134,13,6
1.223991,8221,8228,64,13,6
1.323985,8221,8228,64,13,6
1.424014,8221,8228,64,13,7.41
1.523987,8221,8228,71,13,7.41
1.623986,8226,8228,71,13,7.41
1.723986,8228,8228,71,13,7.43
1.824024,8225,8232,64,13,7.43
1.924005,8221,8228,64,13,7.43
2.023986,8219,8228,64,13,7.43
2.124027,8219,8228,64,13,7.42
2.223985,8219,8224,56,13,7.42
2.324028,8219,8228,56,13,7.42
2.423986,8219,8224,56,13,7.42
2.523999,8219,8224,63,13,7.42
2.623986,8219,8224,63,13,7.42
2.724004,8219,8224,63,13,7.42
2.823987,8219,8224,68,13,7.42
2.923987,8219,8224,68,13,7.42
3.023988,8219,8224,68,13,7.42
3.123991,8219,8224,68,13,7.42
3.223994,8219,8224,75,13,7.42
3.323986,8219,8224,75,13,7.42
3.423987,8219,8224,75,13,7.42
3.523988,8219,8224,80,13,7.42
3.623985,8219,8224,80,13,7.42
3.723988,8219,8224,80,13,7.42
3.823988,8219,8224,85,13,7.42
3.923988,8219,8224,85,13,7.42
4.023991,8219,8224,85,13,7.42
4.123988,8219,8224,85,13,7.42
4.223995,8219,8224,92,13,7.42
4.323986,8226,8224,92,13,7.42
4.424008,8226,8224,92,13,7.43
4.523998,8227,8224,0,13,7.43
4.624001,8226,8228,0,13,7.43
4.723988,8227,8228,0,13,7.43
4.824014,8228,8224,0,13,7.43
4.923987,8227,8224,0,13,7.43
5.024016,8227,8224,0,13,7.43
5.123988,8227,8228,0,13,7.42
5.224005,8227,8228,0,13,7.42
5.323997,8224,8228,0,13,7.42
5.423987,8224,8224,0,13,7.42
5.523987,8224,8228,0,13,7.42
5.623986,8224,8228,0,13,7.42
5.723987,8224,8228,0,13,7.43
5.823985,8224,8228,0,13,7.43
5.923987,8224,8228,0,13,7.43
6.023985,8227,8228,0,13,7.43
6.123987,8227,8228,0,13,7.43
6.223986,8227,8228,0,13,7.43
6.323986,8227,8228,0,13,7.43
6.423987,8227,8228,0,13,6.08
6.523991,8227,8228,0,13,6.08
6.623986,8228,8228,0,13,6.08
6.723988,8230,8228,0,13,6.08
6.823985,8231,8232,0,13,6.08
6.923986,8231,8232,0,13,6.08
7.023987,8231,8232,0,13,6.08
7.123987,8231,8232,0,13,6.08
7.223985,8231,8232,0,13,6.08
7.323989,8231,8232,0,13,6.08
7.423987,8231,8232,0,13,6.08
7.523987,8227,8232,204,13,6.08
7.623988,8226,8228,204,13,6.08
7.723987,8226,8228,204,13,6.08
7.823986,8226,8228,63,13,6.08
7.923988,8226,8228,63,13,6.08
8.023988,8226,8232,63,13,6.08
8.123996,8226,8228,63,13,6.08
8.223986,8226,8228,0,13,6.08
8.323987,8226,8228,0,13,6.08
8.423995,8226,8228,0,13,6.08
