t__s,ACT_AILERON_LEFT.Position_CMD,ACT_AILERON_LEFT.Position_FB,ACT_AILERON_LEFT.Torque_FB,ACT_AILERON_LEFT.Temperature_FB__dC,ACT_AILERON_LEFT.Voltage_FB__V
-0.007998,7592,7604,269,22,6.04
0.091997,7592,7604,114,22,6.04
0.191996,7592,7604,114,22,6.04
0.292002,7592,7604,114,22,6.02
0.391997,7592,7604,126,22,6.02
0.492005,7592,7604,126,22,6.02
0.591996,7592,7604,126,22,6.03
0.691998,7592,7604,139,22,6.03
0.791998,7592,7604,139,22,6
0.892019,7592,7604,139,22,6
0.991998,7592,7604,139,22,6.01
1.096057,8272,8192,317,22,6.01
1.196085,8272,8268,317,22,6.01
1.296064,8272,8268,317,22,7.44
1.396082,8272,8268,0,22,7.44
1.496058,8272,8268,0,22,7.44
1.596079,8272,8268,0,22,7.44
1.696055,8272,8268,0,22,7.44
1.796101,8272,8268,0,22,7.44
1.89606,8272,8268,0,22,7.44
1.996127,8274,8268,0,22,7.44
2.09606,8291,8272,182,22,7.44
2.196109,8593,8440,182,22,7.44
2.296066,8593,8584,182,22,7.43
2.39609,8593,8584,117,22,7.43
2.496059,8593,8584,117,22,7.43
2.596081,8593,8584,117,22,7.43
2.696052,8593,8584,127,22,7.43
2.79609,8593,8584,127,22,7.43
2.896058,8593,8584,127,22,7.43
2.996081,8593,8584,127,22,7.43
3.096059,8593,8584,139,22,7.43
3.19609,8593,8584,139,22,7.43
3.296068,8593,8584,139,22,7.43
3.396082,8593,8584,148,22,7.43
3.496048,8593,8584,148,22,7.43
3.596081,8593,8584,148,22,7.43
3.696083,8593,8584,158,22,7.43
3.796081,8593,8588,158,22,7.43
3.896052,8593,8588,158,22,7.43
3.996089,8143,8492,158,22,7.24
4.096087,8274,8272,0,22,7.24
4.196082,8260,8272,0,22,7.24
4.296085,6912,7736,0,22,7.27
4.396082,6912,6928,274,22,7.27
4.496058,6912,6924,274,22,7.27
4.59609,6912,6924,274,22,7.42
4.696065,6912,6924,250,22,7.42
4.79608,6912,6924,250,22,7.42
4.896059,6912,6924,250,22,7.42
4.996083,6912,6920,250,22,7.42
5.096058,6912,6920,228,22,7.42
5.196082,6912,6920,228,22,7.42
5.296057,6912,6920,228,22,7.42
5.396081,6912,6920,237,22,7.42
5.496055,6912,6920,237,22,7.42
5.59609,8279,7812,237,22,7.29
5.696056,8272,8260,71,22,7.29
5.796082,8244,8256,71,22,7.43
5.896044,8180,8204,71,22,7.43
5.996082,8173,8180,71,22,7.44
6.096069,8173,8180,66,22,7.44
6.19609,8172,8176,66,22,7.44
6.296056,8172,8176,66,22,6.09
6.396082,8172,8176,0,22,6.09
6.496058,8172,8176,0,22,6.09
6.596083,8172,8176,0,22,6.09
6.696067,8172,8176,0,22,6.09
6.79608,8172,8176,0,22,6.09
6.896057,8172,8176,0,22,6.09
6.996082,8172,8176,0,22,6.09
7.096055,8172,8176,0,22,6.09
7.196099,8172,8176,0,22,6.09
7.296064,8175,8176,0,22,6.09
7.396081,8274,8256,20,22,6.09
7.496057,8275,8272,20,22,6.09
7.596083,8298,8268,20,22,6.09
7.696057,8308,8296,116,22,6.09
7.796081,8309,8300,116,22,6.09
7.896059,8309,8300,116,21,6.09
7.996082,8309,8300,116,21,6.09
8.09606,8309,8304,63,21,6.09
8.196082,8309,8304,63,21,6.09
8.296058,8309,8304,63,21,6.09
8.396081,8309,8304,68,21,6.09
8.496059,8309,8304,68,21,6.09
