t__s,ACT_AILERON_LEFT.Position_CMD,ACT_AILERON_LEFT.Position_FB,ACT_AILERON_LEFT.Torque_FB,ACT_AILERON_LEFT.Temperature_FB__dC,ACT_AILERON_LEFT.Voltage_FB__V
0.019998,8253,8252,0,35,6.1
0.119989,8253,8252,0,35,6.1
0.219991,8253,8252,0,35,6.11
0.31999,8253,8252,0,35,6.11
0.419989,8253,8252,0,35,6.11
0.519989,8253,8252,0,35,6.1
0.61999,8253,8252,0,35,6.1
0.719989,8253,8252,0,35,6.1
0.819986,8253,8252,0,35,6.1
0.919989,8253,8252,0,35,6.1
1.019989,8202,8252,0,35,6.1
1.11999,8253,8216,0,35,6.1
1.219991,8253,8244,0,35,7.45
1.319985,8253,8244,87,35,7.45
1.419997,8253,8248,87,35,7.45
1.520008,8253,8248,87,35,7.46
1.619989,8253,8248,56,35,7.46
1.720037,8253,8248,56,35,7.46
1.819989,8253,8248,56,35,7.46
1.920018,8253,8248,56,35,7.46
2.019989,8253,8248,63,35,7.46
2.119989,8253,8248,63,35,7.46
2.21999,8253,8248,63,35,7.45
2.319989,8253,8248,68,35,7.45
2.41999,8253,8248,68,35,7.45
2.51999,8253,8248,68,35,7.46
2.619987,8253,8248,73,35,7.46
2.719987,8253,8248,73,35,7.46
2.819989,8253,8248,73,35,7.46
2.91999,8253,8248,73,35,7.45
3.019991,8253,8248,80,35,7.45
3.11999,8253,8248,80,35,7.45
3.219989,8253,8248,80,35,7.45
3.31999,8253,8248,85,35,7.45
3.41999,8253,8248,85,35,7.45
3.519989,8253,8248,85,35,7.45
3.61999,8253,8248,90,35,7.45
3.719988,8253,8252,90,35,7.46
3.819991,8253,8248,90,35,7.46
3.919989,8253,8252,90,35,7.45
4.01999,8254,8252,0,35,7.45
4.119989,8256,8252,0,35,7.45
4.219997,8265,8252,0,35,7.46
4.31999,8569,8252,121,35,7.46
4.419991,8569,8512,121,35,7.46
4.519989,8569,8556,121,35,7.45
4.619991,8569,8556,160,35,7.45
4.71999,8279,8556,160,35,7.45
4.819998,8253,8520,160,35,7.45
4.91999,8253,8256,160,35,7.46
5.019991,8253,8256,0,35,7.46
5.119991,7962,8256,0,35,7.46
5.219989,6924,8196,0,35,7.31
5.31999,6924,7368,2550,35,7.31
5.41999,6924,6932,2550,35,7.31
5.519989,8190,6932,2550,35,7.44
5.619997,8232,6972,2180,35,7.44
5.719988,8242,8204,2180,35,7.45
5.819977,8244,8236,2180,35,7.45
5.91999,8244,8236,2180,35,7.46
6.019945,8244,8236,75,35,7.46
6.119989,8244,8236,75,35,7.46
6.219989,8244,8236,75,35,7.45
6.319991,8259,8240,0,35,7.45
6.420011,8258,8248,0,35,7.45
6.519988,8262,8248,0,35,6.1
6.620019,8271,8252,102,35,6.1
6.719996,8271,8260,102,35,6.1
6.820014,8271,8264,102,35,6.1
6.919989,8271,8264,102,35,6.1
7.01999,8253,8264,85,35,6.1
7.11999,8253,8252,85,35,6.1
7.219991,8258,8252,85,35,6.11
7.31999,8259,8252,54,35,6.11
7.419989,8259,8252,54,35,6.11
7.519981,8259,8252,54,35,6.11
7.619989,8258,8252,71,35,6.11
7.72004,8252,8252,71,35,6.11
7.820041,8251,8252,71,35,6.11
7.920042,8251,8252,71,35,6.11
8.019999,8251,8252,0,35,6.11
8.12004,8251,8252,0,35,6.11
8.220002,8251,8248,0,35,6.1
8.320039,8251,8252,0,35,6.1
8.420001,8251,8248,0,35,6.1
8.520039,8251,8252,0,35,6.11
8.62004,8251,8252,0,35,6.11
8.720045,8251,8252,0,35,6.11
8.82,8250,8252,0,35,6.11
8.92004,8250,8252,0,35,6.1
9.020039,8250,8252,0,35,6.1
9.120039,8250,8248,0,35,6.1
9.220039,8250,8252,0,35,6.11
9.319989,8250,8252,0,35,6.11
9.420004,8250,8252,0,35,6.11
9.51999,8250,8252,0,35,6.1
9.61999,8250,8252,0,35,6.1
9.71999,8250,8252,0,35,6.11
9.819984,8250,8248,0,35,6.11
9.919987,8250,8248,0,35,6.11
10.019989,8250,8252,0,35,6.11
10.11999,8250,8252,0,35,6.11
10.21999,8250,8248,0,35,6.11
10.319991,8250,8252,0,35,6.11
10.419991,8250,8252,0,35,6.11
10.519988,8250,8248,0,35,6.11
10.619988,8250,8248,0,35,6.11
10.71999,8250,8248,0,35,6.11
10.819997,8250,8248,0,35,6.11
10.919998,8250,8248,0,35,6.1
