t__s,ACT_AILERON_RIGHT.Position_CMD,ACT_AILERON_RIGHT.Position_FB,ACT_AILERON_RIGHT.Torque_FB,ACT_AILERON_RIGHT.Temperature_FB__dC,ACT_AILERON_RIGHT.Voltage_FB__V
0.019998,8106,8108,0,34,6.11
0.119989,8106,8108,0,34,6.11
0.219991,8106,8108,0,34,6.11
0.31999,8106,8108,0,34,6.11
0.419989,8106,8108,0,34,6.11
0.519989,8106,8108,0,34,6.11
0.61999,8106,8108,0,34,6.11
0.719989,8106,8108,0,34,6.11
0.819986,8106,8108,0,34,6.11
0.919989,8106,8108,0,34,6.11
1.019989,8087,8108,0,34,6.11
1.11999,8106,8100,0,34,6.11
1.219991,8106,8104,0,34,7.22
1.319985,8106,8104,0,34,7.22
1.419997,8106,8104,0,34,7.22
1.520008,8106,8104,0,34,7.47
1.619989,8106,8104,0,34,7.47
1.720037,8106,8104,0,34,7.47
1.819989,8106,8104,0,34,7.47
1.920018,8106,8104,0,34,7.47
2.019989,8106,8104,0,34,7.47
2.119989,8106,8104,0,34,7.47
2.21999,8106,8104,0,34,7.46
2.319989,8106,8104,0,34,7.46
2.41999,8106,8104,0,34,7.46
2.51999,8106,8104,0,34,7.46
2.619987,8106,8104,0,34,7.46
2.719987,8106,8104,0,34,7.47
2.819989,8106,8104,0,34,7.47
2.91999,8107,8104,0,34,7.47
3.019991,8107,8104,0,34,7.47
3.11999,8107,8104,0,34,7.47
3.219989,8107,8104,0,34,7.47
3.31999,8107,8104,0,34,7.47
3.41999,8106,8104,0,34,7.47
3.519989,8105,8104,0,34,7.47
3.61999,8106,8104,0,34,7.47
3.719988,8106,8104,0,34,7.47
3.819991,8106,8104,0,34,7.47
3.919989,8106,8104,0,34,7.47
4.01999,8111,8104,0,34,7.47
4.119989,8119,8104,0,34,7.47
4.219997,8154,8112,0,34,7.47
4.31999,9403,8132,8,34,7.47
4.419991,9403,8792,8,34,7.47
4.519989,9403,9388,8,34,7.45
4.619991,9403,9392,225,34,7.45
4.71999,8213,9392,225,34,7.45
4.819998,8104,9368,225,34,7.45
4.91999,8107,8136,225,34,7.46
5.019991,8105,8116,73,34,7.46
5.119991,8029,8116,73,34,7.46
5.219989,7775,8088,73,34,7.41
5.31999,7775,7812,192,34,7.41
5.41999,7775,7792,192,34,7.41
5.519989,8084,7792,192,34,7.45
5.619997,8095,7816,1986,34,7.45
5.719988,8097,8088,1986,34,7.47
5.819977,8098,8092,1986,34,7.47
5.91999,8098,8092,1986,34,7.47
6.019945,8098,8092,42,34,7.47
6.119989,8098,8092,42,34,7.47
6.219989,8098,8092,42,34,7.47
6.319991,8128,8092,47,34,7.47
6.420011,8126,8116,47,34,7.47
6.519988,8141,8124,47,34,6.11
6.620019,8178,8136,47,34,6.11
6.719996,8181,8172,47,34,6.12
6.820014,8181,8176,47,34,6.12
6.919989,8181,8176,47,34,6.11
7.01999,8105,8176,49,34,6.11
7.11999,8104,8116,49,34,6.11
7.219991,8125,8108,49,34,6.11
7.31999,8129,8120,46,34,6.11
7.419989,8129,8124,46,34,6.11
7.519981,8129,8124,46,34,6.12
7.619989,8125,8124,51,34,6.12
7.72004,8100,8124,51,34,6.12
7.820041,8099,8108,51,34,6.12
7.920042,8099,8108,51,34,6.11
8.019999,8099,8108,92,34,6.11
8.12004,8099,8108,92,34,6.11
8.220002,8099,8108,92,34,6.11
8.320039,8099,8104,63,34,6.11
8.420001,8099,8104,63,34,6.11
8.520039,8099,8104,63,34,6.11
8.62004,8099,8104,68,34,6.11
8.720045,8099,8104,68,34,6.11
8.82,8099,8104,68,34,6.11
8.92004,8099,8104,68,34,6.11
9.020039,8099,8104,75,34,6.11
9.120039,8099,8104,75,34,6.11
9.220039,8099,8104,75,34,6.11
9.319989,8099,8104,80,34,6.11
9.420004,8099,8104,80,34,6.11
9.51999,8099,8104,80,34,6.11
9.61999,8099,8104,85,34,6.11
9.71999,8099,8104,85,34,6.11
9.819984,8099,8104,85,34,6.11
9.919987,8099,8104,85,34,6.11
10.019989,8099,8104,92,34,6.11
10.11999,8099,8104,92,34,6.11
10.21999,8099,8104,92,34,6.11
10.319991,8099,8104,97,34,6.11
10.419991,8099,8104,97,34,6.11
10.519988,8099,8104,97,34,6.11
10.619988,8099,8104,102,34,6.11
10.71999,8099,8104,102,34,6.11
10.819997,8099,8104,102,34,6.11
10.919998,8099,8104,102,34,6.11
11.01999,8099,8104,109,34,6.11
11.119987,8099,8104,109,34,6.11
11.219989,8099,8104,109,34,6.11
11.319991,8099,8104,114,34,6.11
11.419985,8099,8104,114,34,6.11
11.519989,8099,8100,114,34,6.11
11.619996,8099,8100,0,34,6.11
11.719987,8099,8100,0,34,6.11
11.819989,8099,8104,0,34,6.11
11.920008,8099,8100,0,34,6.11
12.019997,8099,8100,0,34,6.11
12.119989,8099,8100,0,34,6.11
12.21999,8099,8100,0,34,6.11
12.320039,8099,8100,0,34,6.11
12.420041,8099,8100,0,34,6.11
12.52004,8117,8100,0,34,6.11
12.620041,8113,8108,81,34,6.11
12.720038,8103,8112,81,34,6.11
12.82004,8095,8108,81,34,6.11
12.92004,8088,8104,81,34,6.11
13.020062,8083,8100,117,34,6.11
13.120039,8087,8092,117,34,6.11
13.220048,8097,8092,117,34,6.11
13.32004,8147,8092,46,34,6.11
13.420044,8178,8136,46,34,6.11
13.520039,8167,8172,46,34,6.11
13.620048,8151,8172,46,34,6.11
13.720046,8134,8160,46,34,6.11
13.820064,8129,8144,46,34,6.11
13.920038,8121,8136,46,34,6.11
14.020028,8123,8128,76,34,6.11
14.120041,8114,8124,76,34,6.11
14.220092,8098,8124,76,34,6.11
14.32004,8090,8112,134,34,6.11
14.420042,8083,8100,134,34,6.11
14.52004,8078,8092,134,34,6.11
14.620088,8080,8088,109,34,6.11
14.72004,8083,8088,109,34,5.96
14.820033,8088,8088,109,34,5.96
14.92004,8092,8088,109,34,5.96
15.02002,8093,8088,0,34,5.96
15.120034,8089,8088,0,34,5.96
15.22009,8088,8088,0,34,5.97
15.320003,8090,8088,0,34,5.97
15.419999,8093,8088,0,34,5.97
15.519975,8098,8088,0,34,6
15.619958,8099,8092,54,34,6
15.719957,8103,8092,54,34,6.08
15.819923,8107,8100,54,34,6.08
15.919956,8108,8104,54,34,6.06
16.019922,8097,8104,0,34,6.06
16.119957,8096,8104,0,34,6.06
16.219966,8098,8104,0,34,5.99
16.319955,8098,8104,59,34,5.99
16.419956,8098,8104,59,34,5.99
16.519953,8098,8104,59,34,5.96
16.619974,8098,8104,66,34,5.96
16.719957,8099,8104,66,34,5.96
16.819956,8100,8104,66,34,5.96
16.919957,8102,8104,66,34,5.96
17.019958,8100,8104,0,34,5.96
17.11997,8100,8104,0,34,5.96
17.219976,8100,8104,0,34,6
17.319956,8100,8104,0,34,6
17.419959,8100,8104,0,34,6
17.519956,8100,8104,0,34,5.98
17.619964,8100,8104,0,34,5.98
17.719958,8100,8104,0,34,6.01
17.819958,8099,8104,0,34,6.01
17.919957,8099,8104,0,34,5.99
18.019965,8100,8104,46,34,5.99
18.119974,8100,8104,46,34,5.99
18.219956,8100,8104,46,34,6.03
18.319955,8100,8104,0,34,6.03
18.419956,8100,8104,0,34,6.03
18.519955,8100,8104,0,34,6.06
18.619957,8100,8104,0,34,6.06
18.719955,8099,8104,0,34,6.11
18.819957,8100,8104,0,34,6.11
18.919956,8100,8104,0,34,6.08
19.019965,8100,8104,0,34,6.08
19.119989,8100,8104,0,34,6.08
19.219956,8100,8104,0,34,6.11
19.319992,8100,8104,0,34,6.11
19.419967,8100,8108,0,34,6.11
19.520004,8100,8104,0,34,6.09
19.619956,8100,8104,0,34,6.09
19.719956,8100,8104,0,34,6.1
19.819957,8100,8104,0,34,6.1
19.919954,8100,8104,0,34,6.1
20.019966,8100,8108,0,34,6.1
20.119956,8100,8104,0,34,6.1
20.219955,8100,8104,0,34,6.1
20.319956,8100,8108,0,34,6.1
20.419966,8100,8104,0,34,6.1
20.519956,8100,8104,0,34,6.1
20.619956,8100,8104,0,34,6.1
20.719955,8100,8104,0,34,6.11
20.819965,8100,8108,0,34,6.11
20.919955,8100,8104,0,34,6.11
21.019957,8100,8104,0,34,6.11
21.119956,8100,8104,0,34,6.11
21.219972,8100,8104,0,34,6.11
21.319956,8100,8104,0,34,6.11
21.419958,8100,8104,0,34,6.11
21.519955,8100,8104,0,34,6.1
21.619964,8100,8104,0,34,6.1
21.719957,8100,8108,0,34,6.1
21.819957,8100,8104,0,34,6.1
21.919957,8100,8104,0,34,6.1
22.019958,8100,8104,0,34,6.1
22.119956,8100,8104,0,34,6.1
22.219956,8100,8104,0,34,6.11
22.319956,8100,8104,0,34,6.11
22.419965,8100,8104,0,34,6.11
22.519958,8100,8104,0,34,6.09
22.619958,8100,8104,0,34,6.09
22.719957,8100,8104,0,34,6.1
22.819959,8100,8104,0,34,6.1
22.919957,8100,8104,0,34,6.11
23.019955,8100,8104,0,34,6.11
23.119956,8241,8108,0,34,6.11
23.219955,8253,8196,0,34,6.08
23.319976,8264,8256,0,34,6.08
23.419954,8322,8256,0,34,6.08
23.519957,8237,8288,0,34,6.1
23.619955,8151,8292,412,34,6.1
23.719957,8168,8164,412,34,5.98
23.819957,8141,8168,412,34,5.98
23.919954,8149,8160,412,34,6.03
24.019956,8139,8156,58,34,6.03
24.119959,8141,8148,58,34,6.03
24.219957,8112,8140,58,34,6.1
24.319957,8128,8116,0,34,6.1
24.419957,8099,8132,0,34,6.1
24.519957,8099,8120,0,34,6.03
24.619924,8091,8104,51,34,6.03
24.719954,8114,8104,51,34,6.05
24.819958,8107,8108,51,34,6.05
24.919957,8097,8112,51,34,6.1
25.019941,8097,8104,68,34,6.1
25.119956,8095,8100,68,34,6.1
25.219956,8094,8100,68,34,6.08
25.319956,8090,8100,47,34,6.08
25.419956,8091,8100,47,34,6.08
25.519957,8088,8096,47,34,6.04
25.619956,8085,8096,73,34,6.04
25.719956,8082,8092,73,34,6.06
25.819958,8086,8088,73,34,6.06
25.919955,8086,8088,73,34,6.06
26.019956,8087,8088,0,34,6.06
26.119957,8091,8088,0,34,6.06
26.219957,8096,8092,0,34,6.02
26.319959,8092,8092,0,34,6.02
26.419965,8091,8092,0,34,6.02
26.519956,8097,8092,0,34,6.06
26.619957,8099,8096,0,34,6.06
26.719957,8089,8100,0,34,6.07
26.819967,8090,8096,0,34,6.07
26.919957,8095,8092,0,34,6.07
27.019959,8094,8096,0,34,6.07
27.119955,8092,8096,0,34,6.07
27.219959,8114,8096,0,34,6.1
27.319995,8097,8100,296,34,6.1
27.419957,8089,8104,296,34,6.1
27.520013,8091,8096,296,34,6.11
27.61996,8090,8092,46,34,6.11
27.719976,8093,8092,46,34,6.07
27.819957,8091,8092,46,34,6.07
27.919977,8099,8092,46,34,6.04
28.019958,8089,8100,0,34,6.04
28.119977,8092,8100,0,34,6.04
28.219958,8094,8092,0,34,6.08
28.319959,8096,8092,0,34,6.08
28.419958,8096,8096,0,34,6.08
28.519958,8148,8100,0,34,5.99
28.619957,8108,8144,78,34,5.99
28.719959,8092,8120,78,34,6.07
28.819958,8096,8100,78,34,6.07
28.919957,8112,8100,78,34,6.05
29.019959,8156,8108,0,34,6.05
29.119957,8166,8136,0,34,6.05
29.219959,8137,8172,0,34,7.31
29.319958,8140,8144,146,34,7.31
29.419957,8137,8136,146,34,7.31
29.519958,8103,8148,146,34,7.38
29.619958,8101,8112,300,34,7.38
29.719959,8093,8112,300,34,7.42
29.819966,8095,8096,300,34,7.42
29.919956,8082,8096,300,34,7.43
30.019956,8092,8088,56,34,7.43
30.119957,8099,8088,56,34,7.43
30.219955,8100,8100,56,34,7.42
30.319956,8100,8100,0,34,7.42
30.419933,8100,8100,0,34,7.42
30.519955,8100,8100,0,34,7.27
30.61993,8100,8104,0,34,7.27
30.719956,8100,8104,0,34,7.3
30.819962,8100,8104,0,34,7.3
30.919956,8100,8104,0,34,7.28
31.019996,8100,8100,0,34,7.28
31.119957,8100,8100,0,34,7.28
