t__s,ACT_RUDDER.Position_CMD,ACT_RUDDER.Position_FB,ACT_RUDDER.Torque_FB,ACT_RUDDER.Temperature_FB__dC,ACT_RUDDER.Voltage_FB__V
0.052244,8348,8344,0,22,6.03
0.152063,8348,8344,0,22,6.03
0.25207,8348,8344,0,22,6.04
0.352064,8348,8344,0,22,6.04
0.452065,8348,8344,0,22,6.04
0.552064,8348,8344,0,22,6.03
0.65209,8348,8344,0,22,6.03
0.752064,8348,8344,0,22,6.03
0.85208,8348,8344,0,22,6.03
0.952065,8348,8344,0,22,6.03
1.064021,8385,8312,78,22,6.03
1.164058,8387,8380,78,22,6.03
1.264022,8388,8380,78,22,6.92
1.364071,8388,8384,0,22,6.92
1.464023,8389,8384,0,22,6.92
1.564059,8389,8384,0,22,7.39
1.664025,8390,8384,58,22,7.39
1.764057,8390,8384,58,22,7.39
1.864023,8390,8384,58,22,7.39
1.964059,8390,8384,58,22,7.39
2.064046,8390,8384,66,22,7.39
2.164058,8390,8384,66,22,7.39
2.264042,8390,8384,66,22,7.39
2.364066,8390,8384,73,22,7.39
2.464022,8390,8388,73,22,7.39
2.564067,8390,8388,73,22,7.39
2.664023,8390,8388,0,22,7.39
2.764058,8390,8388,0,22,7.39
2.864025,8390,8388,0,22,7.39
2.964057,8390,8388,0,22,7.39
3.064048,8390,8388,0,22,7.39
3.164058,8390,8388,0,22,7.39
3.264022,8390,8388,0,22,7.39
3.364059,8390,8388,0,22,7.39
3.464023,8390,8388,0,22,7.39
3.564058,8390,8388,0,22,7.39
3.664023,8390,8388,0,22,7.39
3.764066,8390,8388,0,22,7.39
3.864023,8390,8388,0,22,7.39
3.964062,8390,8388,0,22,7.39
4.064023,8390,8388,0,22,7.39
4.16406,8390,8388,0,22,7.39
4.264022,8390,8388,0,22,7.39
4.364066,8390,8388,0,22,7.39
4.464022,8390,8388,0,22,7.39
4.564065,8390,8388,0,22,7.39
4.664025,8390,8388,0,22,7.39
4.764066,8390,8388,0,22,7.39
4.864023,8390,8388,0,22,7.39
4.96406,8390,8388,0,22,7.39
5.064023,8390,8388,0,22,7.39
5.164059,8390,8388,0,22,7.39
5.264023,8390,8388,0,22,7.39
5.364066,8390,8388,0,22,7.39
5.464033,8390,8388,0,22,7.39
5.564059,8390,8388,0,22,7.39
5.664025,8390,8388,0,22,7.39
5.764059,8390,8388,0,22,7.39
5.864022,8390,8388,0,22,7.39
5.964069,8390,8388,0,22,7.39
6.064025,8390,8388,0,22,7.39
6.164069,8390,8388,0,22,7.39
6.264046,8390,8388,0,22,6.05
6.36407,8390,8388,0,22,6.05
6.464056,8390,8388,0,22,6.05
6.564059,8390,8388,0,22,6.05
6.664026,8390,8388,0,22,6.05
6.76406,8390,8388,0,22,6.05
6.864027,8390,8388,0,22,6.05
6.964067,8390,8388,0,22,6.05
7.064022,8390,8388,0,22,6.05
7.164066,8390,8388,0,22,6.05
7.264022,8390,8388,0,22,6.05
7.364067,8390,8388,0,22,6.05
7.464069,8390,8388,0,22,6.05
7.564059,8390,8388,0,22,6.05
7.664022,8390,8388,0,22,6.05
7.764059,8390,8388,0,22,6.05
7.86402,8390,8388,0,22,6.05
7.964072,8390,8388,0,22,6.05
8.064022,8390,8388,0,22,6.05
8.164065,8390,8388,0,22,6.05
8.264026,8390,8388,0,22,6.05
8.364058,8390,8388,0,22,6.05
8.464064,8390,8388,0,22,6.05
8.564067,8390,8388,0,22,6.05
8.66404,8390,8388,0,22,6.05
8.764059,8390,8388,0,22,6.05
8.864022,8390,8388,0,22,6.05
8.964065,8390,8388,0,22,6.05
9.064022,8390,8388,0,22,6.05
9.164068,8390,8388,0,22,6.05
9.264022,8390,8388,0,22,6.05
9.364059,8390,8388,0,22,6.05
9.464022,8390,8388,0,22,6.05
9.564058,8390,8388,0,22,6.05
9.664024,8390,8388,0,22,6.05
9.764059,8390,8388,0,22,6.05
9.864022,8390,8388,0,22,6.05
9.964061,8390,8388,0,22,6.05
10.064023,8390,8388,0,22,6.05
10.164067,8390,8388,0,22,6.05
10.264023,8390,8388,0,22,6.05
10.364059,8390,8388,0,22,6.05
10.464025,8390,8388,0,22,6.05
10.56406,8390,8388,0,22,6.05
10.664022,8390,8388,0,22,6.05
10.764059,8390,8388,0,22,6.05
10.864025,8390,8388,0,22,6.05
10.964076,8390,8388,0,22,6.05
11.064023,8390,8388,0,22,6.05
11.164086,8390,8388,0,22,6.05
11.264023,8390,8388,0,22,6.05
11.364059,8390,8388,0,22,6.05
11.464022,8390,8388,0,22,6.05
11.564057,8390,8388,0,22,6.05
11.664025,8390,8388,0,22,6.05
11.764071,8390,8388,0,22,6.05
11.864032,8390,8388,0,22,6.05
11.964058,8390,8388,0,22,6.05
12.064024,8390,8388,0,22,6.05
12.164084,8390,8388,0,22,6.05
12.264023,8390,8388,0,22,6.05
12.364058,8390,8388,0,22,6.05
12.464024,8390,8388,0,22,6.05
12.56407,8390,8388,0,22,6.05
12.664025,8390,8388,0,22,6.05
12.764067,8390,8388,0,22,6.05
12.864026,8390,8388,0,22,6.05
12.964059,8390,8388,0,22,6.05
13.064022,8390,8388,0,22,6.05
13.164099,8390,8388,0,22,6.05
13.264023,8390,8388,0,22,6.05
13.364059,8390,8388,0,22,6.05
13.464022,8390,8388,0,22,6.05
13.564059,8390,8388,0,22,6.05
13.664041,8390,8388,0,22,6.05
13.76406,8390,8388,0,22,6.05
13.86402,8390,8388,0,22,6.05
13.964068,8390,8388,0,22,6.05
14.064026,8390,8388,0,22,6.05
14.164118,8390,8388,0,22,6.05
14.264025,8390,8388,0,22,6.05
14.3641,8390,8388,0,22,6.05
14.464023,8390,8388,0,22,6.05
14.56407,8390,8388,0,22,6.05
14.664026,8390,8388,0,22,6.05
14.764071,8390,8388,0,22,6.05
14.864026,8390,8388,0,22,6.05
14.964104,8390,8388,0,22,6.05
15.064023,8390,8388,0,22,6.05
15.164073,8390,8388,0,22,6.05
15.264027,8390,8388,0,22,6.05
15.36409,8390,8388,0,22,6.05
15.464023,8390,8388,0,22,6.05
15.564082,8390,8388,0,22,6.05
15.664024,8390,8388,0,22,6.05
15.764077,8390,8388,0,22,6.05
15.864026,8390,8388,0,22,6.05
15.96406,8390,8388,0,22,6.05
16.064021,8390,8388,0,22,6.05
16.164067,8390,8388,0,22,6.05
16.264024,8391,8388,0,22,6.05
16.364074,8392,8388,0,22,6.05
16.464022,8392,8388,0,22,6.05
16.5641,8391,8388,0,22,6.05
16.664031,8391,8388,0,22,6.05
16.764077,8372,8388,0,22,6.05
16.864022,8122,8324,0,22,6.05
16.964059,6888,7596,0,22,5.91
17.064032,7163,6936,564,22,5.91
17.164068,7482,7300,564,22,5.91
17.264023,7717,7588,564,22,6.01
17.364064,7892,7800,170,22,6.01
17.464024,8021,7956,170,22,6.01
17.564068,9698,8072,170,22,6.04
17.664022,9714,9232,3173,22,6.04
17.764061,9780,9768,3173,22,6.03
17.864025,9780,9776,3173,22,6.03
17.964061,9780,9772,3173,22,6.05
18.064022,9521,9728,447,22,6.05
18.164058,9228,9396,447,22,6.05
18.264023,9011,9128,447,22,6.02
18.364059,6888,8880,2182,22,6.02
18.464031,7254,7476,2182,22,6.02
18.564059,7546,7380,2182,22,6.02
18.664024,7765,7644,298,22,6.02
18.764057,7928,7840,298,22,6.03
18.864024,8048,7984,298,22,6.03
18.964059,8137,8092,298,22,6.04
19.064022,8199,8172,56,22,6.04
19.16406,8249,8216,56,22,6.04
19.264024,8265,8256,56,22,5.97
19.364079,8368,8328,155,22,5.97
19.464023,8378,8368,155,22,5.97
19.564059,8383,8376,155,22,6.04
19.664031,8385,8380,0,22,6.04
19.764063,8364,8368,0,22,6.05
19.864023,8367,8368,0,22,6.05
19.964059,8348,8392,0,22,5.93
20.064023,8357,8356,75,22,5.93
20.164067,8365,8356,75,22,5.93
20.264035,8371,8360,75,22,6.05
20.364068,9737,8568,848,22,6.05
20.464022,9740,9656,848,22,6.05
20.564061,9743,9740,848,22,6.05
20.664022,9745,9736,163,22,6.05
20.764058,8386,9460,163,22,6.04
20.864022,8277,8456,163,22,6.04
20.964059,7002,8220,163,22,5.9
21.064031,7003,7068,312,22,5.9
21.164059,7003,7004,312,22,5.9
21.264023,7003,7004,312,22,6.05
21.364058,8390,7008,52,22,6.05
21.464023,8390,8140,52,22,6.05
21.564066,8390,8392,52,22,6.05
21.664021,8390,8392,0,22,6.05
21.764057,8390,8392,0,22,6.05
21.864022,8390,8392,0,22,6.05
21.964059,8390,8392,0,22,6.05
22.064024,8390,8392,0,22,6.05
22.164075,8390,8392,0,22,6.05
22.264026,8390,8392,0,22,6.05
22.364067,8390,8392,0,22,6.05
22.464025,8390,8392,0,22,6.05
22.564091,8390,8392,0,22,6.05
22.664042,8390,8392,0,22,6.05
22.764068,8390,8392,0,22,6.05
22.864071,8390,8392,0,22,6.05
22.964059,8390,8392,0,22,6.05
23.064023,8390,8392,0,22,6.05
23.16406,8390,8392,0,22,6.05
23.264021,8390,8392,0,22,6.05
23.364068,8390,8392,0,22,6.05
23.464022,8390,8392,0,22,6.05
23.56406,8390,8392,0,22,6.05
23.664022,8390,8392,0,22,6.05
23.764085,8390,8392,0,22,6.05
23.864031,8390,8392,0,22,6.05
23.964059,8390,8392,0,22,6.05
24.064033,8390,8392,0,22,6.05
24.164061,8390,8392,0,22,6.05
24.264025,8390,8392,0,22,6.05
24.364058,8390,8392,0,22,6.05
24.464044,8390,8392,0,22,6.05
24.564066,8390,8392,0,22,6.05
24.664069,8390,8392,0,22,6.05
24.76406,8390,8392,0,22,6.05
24.864037,8390,8392,0,22,6.05
24.964068,8390,8392,0,22,6.05
25.064024,8390,8392,0,22,6.05
25.164058,8390,8392,0,22,6.05
25.264024,8390,8392,0,22,6.05
25.364059,8390,8392,0,22,6.05
25.464023,8390,8392,0,22,6.05
25.564059,8310,8328,0,22,6.04
25.664023,8336,8320,83,22,6.04
25.764059,8353,8344,83,22,6.05
25.864023,8358,8352,83,22,6.05
25.964058,8369,8352,83,22,6.05
26.064023,8378,8368,68,22,6.05
26.16406,8378,8372,68,22,6.05
26.264047,8381,8372,68,22,6.05
26.36406,8392,8376,73,22,6.05
26.464025,8385,8380,73,22,6.05
26.564067,8384,8380,73,22,6.05
26.664022,8390,8384,63,22,6.05
26.764068,8387,8384,63,22,6.05
26.864025,8385,8384,63,22,6.05
26.964068,8395,8384,63,22,6.05
27.064024,8393,8392,0,22,6.05
27.16406,8387,8388,0,22,6.05
27.264048,8393,8388,0,22,6.05
27.364068,8395,8392,0,22,6.05
27.464022,8382,8388,0,22,6.05
27.56406,8403,8388,0,22,6.05
27.664021,8409,8400,3,22,6.05
27.76406,8395,8404,3,22,6
27.864021,8410,8400,3,22,6
27.964067,8412,8404,3,22,6
28.064024,8406,8408,0,22,6
28.164067,8408,8408,0,22,6
28.264074,8408,8408,0,22,6
28.36406,8403,8408,0,22,6
28.464023,8399,8404,0,22,6
28.564016,8414,8404,0,22,6.02
28.663978,8399,8408,0,22,6.02
28.764015,8400,8404,0,22,6.02
28.863978,8395,8396,0,22,6.02
28.964015,8396,8392,0,22,6.02
29.063989,8379,8392,39,22,6.02
29.164016,8395,8388,39,22,6.02
29.263978,8412,8396,39,22,6.01
29.364016,8400,8404,0,22,6.01
29.463981,8391,8400,0,22,6.01
29.564015,8395,8396,0,22,6.02
29.663981,8403,8396,0,22,6.02
29.764028,8400,8396,0,22,6.02
29.864009,8399,8396,0,22,6.02
29.964015,8400,8396,0,22,6.02
30.063998,8400,8396,46,22,6.02
30.164024,8400,8396,46,22,6.02
30.263978,8398,8396,46,22,6.01
30.364025,8396,8396,0,22,6.01
30.463978,8395,8396,0,22,6.01
30.564022,8394,8396,0,22,6.01
30.663978,8393,8396,0,22,6.01
30.764015,8392,8396,0,22,6.01
30.863978,8392,8396,0,22,6.01
30.964015,8391,8396,0,22,6.02
31.06398,8391,8396,47,22,6.02
31.164017,8391,8396,47,22,6.02
31.263992,8391,8396,47,22,6.03
31.364054,8391,8396,52,22,6.03
31.463991,8391,8396,52,22,6.03
31.56403,8391,8396,52,22,6.05
31.663992,8391,8396,58,22,6.05
31.764036,8391,8396,58,22,6.05
31.864004,8391,8396,58,22,6.05
31.964029,8391,8396,58,22,6.05
32.063993,8390,8396,73,22,6.05
32.164036,8390,8392,73,22,6.05
32.263991,8390,8392,73,22,6.05
32.364028,8390,8392,0,22,6.05
32.463992,8390,8392,0,22,6.05
32.564035,8390,8392,0,22,6.05
32.663992,8390,8392,0,22,6.05
32.764028,8390,8392,0,22,6.05
32.863991,8390,8392,0,22,6.05
32.964046,8390,8392,0,22,6.05
33.063991,8390,8392,0,22,6.05
33.164058,8390,8392,0,22,6.05
33.263991,8390,8392,0,22,6.05
33.364076,8390,8392,0,22,6.05
33.463992,8390,8392,0,22,6.05
33.564054,8390,8392,0,22,6.05
33.663992,8390,8392,0,22,6.05
33.764076,8390,8392,0,22,6.05
33.863991,8390,8392,0,22,6.05
33.964027,8390,8392,0,22,6.05
34.064,8390,8392,0,22,6.05
34.164027,8390,8392,0,22,6.05
34.264,8390,8392,0,22,6.05
34.364029,8390,8392,0,22,6.05
34.463992,8390,8392,0,22,6.05
34.564046,8390,8392,0,22,6.05
34.663993,8390,8392,0,22,6.05
34.764046,8390,8392,0,22,6.05
34.864,8390,8392,0,22,6.05
34.964078,8390,8392,0,22,6.05
35.063993,8390,8392,0,22,6.05
35.164046,8390,8392,0,22,6.05
35.263992,8390,8392,0,22,6.05
35.364067,8390,8392,0,22,6.05
35.464002,8390,8392,0,22,6.05
35.564037,8390,8392,0,22,6.05
35.663993,8390,8392,0,22,6.05
35.76403,8338,8392,0,22,6.05
35.864002,8353,8344,0,22,6.05
35.96403,8343,8348,0,22,6.05
36.063991,8314,8348,146,22,6.05
36.164029,8373,8320,146,22,6.05
36.263993,8443,8396,146,22,6.03
36.364029,8455,8440,98,22,6.03
36.463993,8408,8424,98,22,6.03
36.564048,8385,8380,98,22,6.01
36.663994,8410,8392,52,22,6.01
36.764029,8459,8424,52,22,6.02
36.864004,8390,8436,52,22,6.02
36.964029,8399,8400,52,22,6.04
37.063993,8436,8408,162,22,6.04
37.16403,8414,8436,162,22,6.04
37.263994,8432,8416,162,22,6.04
37.364028,8445,8436,39,22,6.04
37.463991,8409,8432,39,22,6.04
37.564029,8408,8408,39,22,6.04
37.664001,8395,8412,124,22,6.04
37.764029,8416,8404,124,22,6.05
37.863993,8418,8412,124,22,6.05
37.96403,8395,8412,124,22,6.05
38.063993,8391,8404,98,22,6.05
38.164031,8399,8404,98,22,6.05
38.263991,8407,8404,98,22,6.04
38.364029,8408,8404,22,22,6.04
38.463992,8386,8404,22,22,6.04
38.564038,8376,8384,22,22,6.03
38.664012,8386,8384,42,22,6.03
38.76403,8369,8380,42,22,6.04
38.863993,8376,8376,42,22,6.04
38.964028,8373,8376,42,22,6.04
39.063993,8365,8372,51,22,6.04
39.164029,8375,8368,51,22,6.04
39.263995,8358,8368,51,22,6.04
39.364034,8356,8364,90,22,6.04
39.463993,8365,8360,90,22,6.04
39.564029,8384,8368,90,22,6.04
39.663992,8366,8372,29,22,6.04
39.764028,8368,8376,29,22,6.05
39.863992,8380,8376,29,22,6.05
39.964029,8360,8376,29,22,6.05
40.063996,8363,8372,69,22,6.05
