t__s,ACT_TILT_LEFT_FRONT.Position_CMD,ACT_TILT_LEFT_FRONT.Position_FB,ACT_TILT_LEFT_FRONT.Torque_FB,ACT_TILT_LEFT_FRONT.Temperature_FB__dC,ACT_TILT_LEFT_FRONT.Voltage_FB__V
0.071904,7776,7748,257,14,5.95
0.171897,7776,7748,257,14,5.95
0.271897,7776,7748,257,14,5.95
0.371897,7776,7748,257,14,5.95
0.471904,7776,7748,257,14,5.95
0.571897,7776,7748,257,14,6.06
0.671897,7776,7748,257,14,6.06
0.771897,7776,7748,257,14,6.06
0.871906,7776,7748,257,14,5.95
0.971897,7776,7748,58,14,5.95
1.083905,6472,7480,58,14,5.43
1.183885,6472,6508,58,14,5.43
1.283903,6472,6480,58,14,7.19
1.383887,6472,6480,221,14,7.19
1.483886,6472,6480,221,14,7.19
1.583888,6472,6476,221,14,7.42
1.683885,6472,6476,0,14,7.42
1.783887,6472,6476,0,14,7.42
1.88389,6472,6476,0,14,7.42
1.98389,6472,6476,0,14,7.42
2.083887,6472,6476,0,14,7.42
2.183887,6472,6476,0,14,7.42
2.283886,6472,6476,0,14,7.42
2.383887,6472,6476,0,14,7.42
2.483887,6472,6476,0,14,7.42
2.583887,6472,6476,0,14,7.42
2.683886,6472,6476,0,14,7.42
2.783888,6472,6476,0,14,7.42
2.883887,6472,6476,0,14,7.42
2.983887,6472,6476,0,14,7.42
3.083896,6472,6476,0,14,7.42
3.183886,6472,6476,0,14,7.42
3.283894,6472,6476,0,14,7.42
3.383887,6472,6476,0,14,7.42
3.483889,6472,6476,0,14,7.42
3.583886,6472,6476,0,14,7.42
3.683886,6472,6476,0,14,7.42
3.783888,6472,6476,0,14,7.42
3.883886,6472,6476,0,14,7.42
3.983885,6472,6476,0,14,7.42
4.083887,6472,6476,0,14,7.42
4.183887,6472,6476,0,15,7.42
4.283893,6472,6476,0,15,7.32
4.383888,6472,6476,0,15,7.32
4.483887,6472,6476,0,15,7.32
4.583886,6472,6476,0,15,7.41
4.68392,6472,6476,0,15,7.41
4.783887,6472,6476,0,15,7.41
4.883923,6472,6476,0,15,7.41
4.983885,6472,6476,0,15,7.41
5.083899,6472,6476,0,15,7.41
5.183889,6472,6476,0,15,7.41
5.283886,6472,6476,0,15,7.4
5.383886,6472,6476,0,15,7.4
5.483887,6472,6476,0,15,7.4
5.583887,6472,6476,0,15,7.41
5.683895,6472,6476,0,15,7.41
5.783888,6472,6476,0,15,7.41
5.883888,6472,6476,0,15,7.42
5.983894,6472,6476,0,15,7.42
6.08389,6472,6476,0,15,7.42
6.183894,6472,6476,0,15,7.42
6.283885,6472,6476,0,15,6.09
6.383888,6472,6476,0,15,6.09
6.48391,6472,6476,0,15,6.09
6.583889,6472,6476,0,15,6.09
6.683889,6472,6476,0,15,6.09
6.783887,6472,6476,0,15,6.09
6.883886,6472,6476,0,15,6.09
6.983887,6472,6476,0,15,6.09
7.083887,6472,6476,0,15,6.09
7.183887,6472,6476,0,14,6.09
7.283885,6472,6476,0,14,6.09
7.383887,6472,6476,0,14,6.09
7.483887,6472,6476,0,14,6.09
7.583887,6472,6476,0,14,6.09
7.683886,6472,6476,0,14,6.09
7.783889,6472,6476,0,14,6.09
7.883886,6472,6476,0,14,6.09
7.98393,6472,6476,0,14,6.09
8.083887,6472,6476,0,14,6.09
8.183922,6472,6476,0,14,6.09
8.283889,6472,6476,0,14,6.09
8.383904,6472,6476,0,14,6.09
8.483887,6472,6476,0,14,6.09
8.583887,6472,6476,0,14,6.09
8.683891,6472,6476,0,14,6.09
8.783887,6472,6476,0,14,6.09
8.883886,6472,6476,0,14,6.09
8.983887,6472,6476,0,14,6.09
9.083888,6472,6476,0,14,6.09
9.183888,6472,6476,0,14,6.09
9.283887,6472,6476,0,14,6.08
9.383889,6472,6476,0,14,6.08
9.483886,6472,6476,0,14,6.08
9.583921,6472,6476,0,14,6.09
9.683889,6472,6476,0,14,6.09
9.783914,6472,6476,0,14,6.09
9.883891,6472,6476,0,14,6.09
9.983886,6472,6476,0,14,6.09
10.083886,6472,6476,0,14,6.09
10.183887,6472,6476,0,14,6.09
10.283885,6472,6476,0,14,6.09
10.383886,6472,6476,0,14,6.09
10.483885,6472,6476,0,14,6.09
10.583887,6472,6476,0,14,6.09
10.683886,6472,6476,0,14,6.09
10.783886,6472,6476,0,14,6.09
10.883886,6472,6476,0,14,6.09
10.983887,6472,6476,0,14,6.09
11.083887,6472,6476,0,14,6.09
11.183888,6472,6476,0,14,6.09
11.283887,6472,6476,0,14,6.09
11.383887,6472,6476,0,14,6.09
11.483889,6472,6476,0,14,6.09
11.583887,6472,6476,0,14,6.09
11.683889,6472,6476,0,14,6.09
11.783888,6472,6476,0,14,6.09
11.883896,6472,6476,0,14,6.09
11.983887,6472,6476,0,14,6.09
12.083886,6472,6476,0,14,6.09
12.183887,6472,6476,0,14,6.09
12.283888,6472,6476,0,14,6.09
12.383886,6472,6476,0,14,6.09
12.483886,6472,6476,0,14,6.09
12.58391,6472,6476,0,14,6.09
12.683884,6472,6476,0,14,6.09
12.783888,6472,6476,0,14,6.09
12.883886,6472,6476,0,14,6.1
12.983888,6472,6476,0,14,6.1
13.083886,6472,6476,0,14,6.09
13.183888,6472,6476,0,14,6.09
13.283886,6472,6476,0,14,6.09
13.383887,6472,6476,0,14,6.09
13.483885,6472,6476,0,14,6.09
13.583886,6472,6476,0,14,6.09
13.683886,6472,6476,0,14,6.09
13.783887,6472,6476,0,14,6.09
13.883886,6472,6476,0,14,6.09
13.983887,6472,6476,0,14,6.09
14.083888,6472,6476,0,14,6.09
14.183887,6472,6476,0,14,6.09
14.283885,6472,6476,0,14,6.09
14.383907,6472,6476,0,14,6.09
14.483886,6472,6476,0,14,6.09
14.583887,6472,6476,0,14,6.09
14.683887,6472,6476,0,14,6.09
14.783887,6472,6476,0,14,6.09
14.883886,6472,6476,0,14,6.09
14.983886,6472,6476,0,14,6.09
15.083889,6472,6476,0,14,6.09
15.183887,6472,6476,0,14,6.09
15.283886,6472,6476,0,14,6.09
15.383891,6472,6476,0,14,6.09
15.483887,6472,6476,0,14,6.09
15.583887,6472,6476,0,14,6.09
15.683886,6472,6476,0,14,6.09
15.783896,6472,6476,0,14,6.09
15.883894,6472,6476,0,14,6.09
15.983887,6472,6476,0,14,6.09
16.083888,6472,6476,0,14,6.09
16.183895,6472,6476,0,14,6.09
16.283886,6472,6476,0,14,6.09
16.383886,6472,6476,0,14,6.09
16.483888,6472,6476,0,14,6.09
16.583887,6472,6476,0,14,6.09
16.683894,6472,6476,0,14,6.09
16.783887,6472,6476,0,14,6.09
16.883893,6472,6476,0,14,6.09
16.983886,6472,6476,0,14,6.09
17.083885,6472,6476,0,14,6.09
17.183888,6472,6476,0,14,6.09
17.283909,6472,6476,0,14,6.09
17.38389,6472,6476,0,14,6.09
17.483888,6472,6476,0,14,6.09
17.583895,6472,6476,0,14,6.09
17.683905,6472,6476,0,14,6.09
17.783887,6472,6476,0,14,6.09
17.883915,6472,6476,0,14,6.09
17.983887,6472,6476,0,14,6.09
18.083913,6472,6476,0,14,6.09
18.183885,6472,6476,0,14,6.09
18.283891,6472,6476,0,14,6.09
18.383887,6472,6476,0,14,6.09
18.483889,6472,6476,0,14,6.09
18.583887,6472,6476,0,14,6.1
18.683916,6472,6476,0,14,6.1
18.78389,6472,6476,0,14,6.1
18.883897,6472,6476,0,14,6.1
18.983888,6472,6476,0,14,6.1
19.083886,6472,6476,0,14,6.09
19.183887,6472,6476,0,14,6.09
19.283894,6472,6476,0,14,6.09
19.383886,6472,6476,0,14,6.09
19.483887,6472,6476,0,14,6.09
19.583888,6472,6476,0,14,6.09
19.683887,6472,6476,0,14,6.09
19.783886,6472,6476,0,14,6.09
19.883898,6472,6476,0,14,6.09
19.983887,6472,6476,0,14,6.09
20.083887,6472,6476,0,14,6.09
20.183887,6472,6476,0,14,6.09
20.283885,6472,6476,0,14,6.09
20.383888,6844,6732,595,14,6.09
20.483887,6844,6816,595,14,6.09
20.583887,6844,6816,595,14,5.94
20.683886,6997,6868,662,14,5.94
20.783887,7157,7016,662,14,5.94
20.883895,7317,7176,662,14,5.83
20.983903,7477,7340,839,14,5.83
21.083885,7637,7500,839,14,5.83
21.183913,7773,7664,839,14,5.83
21.283887,7805,7760,839,14,5.91
21.38392,7807,7780,247,14,5.91
21.483889,7806,7780,247,14,5.91
21.58389,7806,7776,247,14,5.97
21.683884,7806,7780,238,14,5.97
21.783885,7806,7784,238,14,5.97
21.883884,7825,7776,238,14,6.03
21.983892,7949,7824,706,14,6.03
22.083882,8095,7964,706,14,5.81
22.183886,8233,8112,706,14,5.81
22.283884,8370,8248,706,14,5.86
22.383885,8507,8384,875,14,5.86
22.483883,8644,8524,875,14,5.86
22.583886,8781,8660,875,14,5.88
22.683884,8918,8796,875,14,5.88
22.783884,9055,8932,875,14,5.88
22.883908,9192,9072,875,14,5.88
22.983885,9329,9212,593,14,5.88
23.083885,9467,9348,593,14,5.87
23.183885,9604,9488,593,14,5.87
23.283884,9740,9628,593,14,5.87
23.383885,9877,9764,665,14,5.87
23.483884,10013,9896,665,14,5.87
23.583884,10150,10036,665,14,5.87
23.683883,10287,10176,528,14,5.87
23.783885,10423,10312,528,14,5.87
23.883888,10560,10448,528,14,5.9
23.983885,10697,10584,812,14,5.9
24.083896,10740,10716,812,14,5.93
24.183896,10695,10712,812,14,5.93
24.283896,10689,10692,812,14,6.09
24.383897,10689,10676,221,14,6.09
24.483905,10689,10668,221,14,6.09
24.583897,10689,10664,221,14,6.07
24.683896,10689,10664,230,14,6.07
24.783898,10689,10664,230,14,6.07
24.883913,10689,10664,230,14,6.07
24.983898,10689,10664,394,14,6.07
25.083896,10689,10664,394,14,6.07
25.183899,10689,10664,394,14,6.07
25.283895,10689,10660,394,14,5.99
25.383898,10689,10664,230,14,5.99
25.483896,10689,10664,230,14,5.99
25.583897,10689,10664,230,14,6.07
25.683896,10689,10664,230,14,6.07
25.783897,10689,10664,230,14,6.07
25.883913,10689,10664,230,14,6.07
25.983897,10689,10664,230,14,6.07
26.083896,10689,10664,230,14,6.04
26.183897,10688,10664,230,14,6.04
