t__s,ACT_AILERON_LEFT.Position_CMD,ACT_AILERON_LEFT.Position_FB,ACT_AILERON_LEFT.Torque_FB,ACT_AILERON_LEFT.Temperature_FB__dC,ACT_AILERON_LEFT.Voltage_FB__V
0.051884,7592,7596,204,27,6.03
0.151849,7592,7596,204,27,6.02
0.251883,7592,7596,0,27,6.02
0.351851,7592,7596,0,27,6.04
0.451883,7592,7596,0,26,6.04
0.551865,7592,7596,0,26,6.05
0.651882,7592,7596,0,26,6.05
0.751886,7592,7600,0,26,6.05
0.851886,7592,7596,0,26,6.02
0.951863,7592,7596,0,26,6.02
1.051883,8212,7632,0,26,6.02
1.151866,8275,8264,0,26,6.02
1.251881,8275,8268,64,26,6.02
1.351851,8275,8268,64,26,7.42
1.451882,8275,8268,64,27,7.42
1.551847,8275,8268,64,27,7.46
1.651885,8275,8268,75,27,7.46
1.751847,8275,8268,75,27,7.46
1.851886,8275,8268,75,27,7.46
1.951846,8275,8268,81,27,7.46
2.051886,8275,8268,81,27,7.46
2.151848,8275,8268,81,27,7.46
2.251891,8275,8268,88,27,7.46
2.351851,8275,8268,88,27,7.46
2.451885,8275,8268,88,26,7.46
2.551856,8275,8268,88,26,7.46
2.651886,8275,8268,98,26,7.46
2.751848,8275,8268,98,26,7.46
2.851886,8275,8268,98,26,7.45
2.951847,8275,8268,276,26,7.45
3.051883,8275,8268,276,26,7.45
3.151849,8275,8272,276,26,7.46
3.251884,8275,8272,0,26,7.46
3.351878,8275,8272,0,26,7.46
3.451883,8275,8272,0,26,7.46
3.551877,8275,8272,0,26,7.46
3.651885,8275,8272,0,26,7.46
3.751849,8275,8272,0,26,7.46
3.851886,8275,8272,0,26,7.46
3.951848,8275,8272,0,26,7.46
4.051884,8275,8272,0,26,7.46
4.15185,8275,8272,0,26,7.46
4.251884,8275,8272,0,26,7.46
4.351851,8275,8272,0,26,7.46
4.451885,8275,8272,0,26,7.46
4.551846,8275,8268,0,26,7.46
4.651904,8275,8272,0,26,7.46
4.751849,8275,8268,0,26,7.46
4.851888,8275,8272,0,26,7.46
4.951848,8275,8272,0,26,7.46
5.051884,8275,8272,0,26,7.46
5.15185,8275,8268,0,26,7.46
5.251883,8275,8268,122,26,7.46
5.351851,8275,8272,122,26,7.46
5.451881,8275,8272,122,26,7.46
5.551848,8275,8272,122,26,7.46
5.651883,8275,8272,0,26,7.46
5.751848,8275,8272,0,26,7.46
5.851888,8275,8272,0,26,7.46
5.95185,8275,8272,0,26,7.46
6.051884,8275,8272,0,26,7.46
6.151848,8275,8272,0,26,7.46
6.251882,8275,8268,204,26,7.46
6.351852,8275,8268,204,26,6.11
6.451884,8275,8272,204,26,6.11
6.551848,8275,8272,204,26,6.11
6.651884,8275,8272,0,26,6.11
6.751848,8275,8272,0,26,6.11
6.851894,8275,8272,0,26,6.09
6.951848,8275,8268,204,26,6.09
7.051884,8275,8272,204,26,6.09
7.15185,8275,8272,204,26,6.11
7.251885,8275,8272,0,26,6.11
7.351858,8275,8272,0,26,6.11
7.451884,8275,8272,0,27,6.11
7.551859,8275,8272,0,27,6.11
7.651883,8275,8272,0,27,6.11
7.751849,8275,8272,0,27,6.11
7.851886,8275,8272,0,27,6.11
7.951847,8275,8272,0,27,6.11
8.051884,8275,8268,0,27,6.11
8.151849,8275,8272,0,27,6.1
8.251882,8275,8272,0,27,6.1
8.351851,8275,8272,0,27,6.11
8.451884,8275,8272,0,27,6.11
8.551849,8275,8272,0,27,6.11
8.651892,8274,8272,0,27,6.11
8.751847,7161,8264,0,27,6.11
8.851895,6920,7140,0,27,6.08
8.951848,6920,6936,293,27,6.08
9.051883,8238,6984,293,27,6.08
9.151849,8267,8188,293,27,6.1
9.251903,8267,8256,93,27,6.1
9.351849,8267,8256,93,27,6.1
9.451898,8267,8256,93,27,6.1
9.551849,8267,8256,93,27,6.1
9.651922,8267,8256,109,27,6.1
9.751849,8267,8256,109,27,6.1
9.851884,8267,8256,109,27,6.1
9.951847,8267,8256,119,27,6.1
10.051892,8267,8256,119,27,6.1
10.151848,8267,8256,119,27,6.1
10.251883,8267,8256,131,27,6.1
10.351849,8267,8256,131,27,6.1
10.451884,8267,8256,131,27,6.1
10.551849,8267,8256,131,27,6.1
10.651883,8267,8260,107,27,6.1
10.751849,8267,8260,107,27,6.1
10.851887,8266,8260,107,27,6.1
10.951858,8584,8544,182,27,6.1
11.051884,8584,8568,182,27,6.1
11.15185,8584,8568,182,27,6.09
11.25189,8584,8568,245,27,6.09
11.35185,8270,8316,245,27,6.09
11.451894,8268,8280,245,27,6.09
11.551859,8267,8276,245,27,6.11
11.651884,8267,8272,13,27,6.11
11.751878,8267,8272,13,27,6.11
11.851895,8267,8268,13,27,6.11
11.951878,8267,8264,0,27,6.11
12.051917,8267,8264,0,27,6.11
12.151867,8267,8264,0,27,6.11
12.251901,8267,8264,0,27,6.11
12.35185,8267,8264,0,27,6.11
12.451883,8267,8264,0,27,6.11
12.551847,8267,8264,0,27,6.11
12.651883,8267,8264,0,27,6.11
12.751849,8267,8264,0,27,6.11
12.851886,8267,8264,0,27,6.11
12.951855,8267,8264,0,27,6.11
13.051883,8267,8264,0,27,6.11
13.151869,8267,8264,0,27,6.11
13.251884,8267,8264,0,27,6.11
13.351849,8267,8264,0,27,6.11
13.451883,8267,8264,0,27,6.11
13.551848,8267,8264,0,27,6.11
13.651884,8267,8264,0,27,6.11
13.751849,8267,8264,0,27,6.11
13.851886,8267,8264,0,27,6.11
13.951849,8267,8264,0,27,6.11
14.051884,8267,8264,0,27,6.11
14.151857,8267,8264,0,27,6.11
14.251899,8267,8264,0,27,6.11
14.351848,8267,8264,0,27,6.11
14.451887,8267,8264,0,27,6.11
14.551849,8279,8268,0,27,6.1
14.651883,8283,8272,319,27,6.1
14.751846,8283,8276,319,27,6.1
14.851887,8282,8276,319,27,6.11
14.95185,8281,8276,58,27,6.11
15.051893,8275,8276,58,27,6.11
15.151848,8270,8272,58,27,6.11
15.251891,8270,8272,0,27,6.11
15.35185,8270,8272,0,27,6.11
15.451884,8270,8272,0,27,6.11
15.551848,8270,8272,0,27,6.11
15.651892,8270,8272,0,27,6.11
15.75185,8270,8272,0,27,6.11
15.851885,8270,8272,0,27,6.11
15.951846,8270,8272,0,27,6.11
16.051885,8270,8272,0,27,6.11
16.151849,8270,8272,0,27,6.11
16.251884,8270,8272,0,27,6.11
16.351851,8113,8208,0,27,5.99
16.451901,8149,8140,0,27,5.99
16.551854,8172,8164,0,27,6.1
16.651883,8268,8260,83,27,6.1
16.751851,8266,8260,83,27,6.1
16.851886,8266,8260,83,27,6.11
16.951848,8266,8260,71,27,6.11
17.051886,8266,8260,71,27,6.11
