t__s,ACT_TILT_CENTER_REAR.Position_CMD,ACT_TILT_CENTER_REAR.Position_FB,ACT_TILT_CENTER_REAR.Torque_FB,ACT_TILT_CENTER_REAR.Temperature_FB__dC,ACT_TILT_CENTER_REAR.Voltage_FB__V
0.051884,8023,8012,580,26,6.09
0.151849,8023,8012,580,26,6.09
0.251883,8023,8012,648,26,6.09
0.351851,8023,8012,648,26,6.08
0.451883,8023,8012,648,26,6.08
0.551865,8023,8012,648,26,6.11
0.651882,8023,8012,225,26,6.11
0.751886,8023,8012,225,26,6.11
0.851886,8023,8012,225,26,6.1
0.951863,8023,8012,293,26,6.1
1.051883,6584,7964,293,26,6.1
1.151866,6584,6644,293,26,6.11
1.251881,6584,6576,127,26,6.11
1.351851,6584,6576,127,26,7.43
1.451882,6584,6576,127,26,7.43
1.551847,6584,6572,127,26,7.43
1.651885,6584,6576,92,26,7.43
1.751847,6584,6572,92,26,7.43
1.851886,6584,6576,92,26,7.43
1.951846,6584,6572,312,26,7.43
2.051886,6584,6572,312,26,7.43
2.151848,6584,6572,312,26,7.43
2.251891,6584,6572,385,26,7.43
2.351851,6584,6572,385,26,7.43
2.451885,6584,6572,385,26,7.43
2.551856,6584,6572,385,26,7.43
2.651886,6584,6572,482,26,7.43
2.751848,6584,6572,482,26,7.43
2.851886,6584,6572,482,26,7.42
2.951847,6584,6572,556,26,7.42
3.051883,6584,6572,556,26,7.42
3.151849,6584,6576,556,26,7.42
3.251884,6584,6576,552,26,7.42
3.351878,6584,6576,552,26,7.41
3.451883,6584,6576,552,27,7.41
3.551877,6584,6576,552,27,7.41
3.651885,6584,6576,619,27,7.41
3.751849,6584,6576,619,27,7.41
3.851886,6584,6576,619,27,7.44
3.951848,6584,6576,155,27,7.44
4.051884,6584,6576,155,27,7.44
4.15185,6584,6576,155,27,7.44
4.251884,6584,6576,204,27,7.44
4.351851,6584,6576,204,27,7.44
4.451885,6584,6576,204,27,7.44
4.551846,6584,6576,204,27,7.44
4.651904,6584,6576,269,27,7.44
4.751849,6584,6576,269,27,7.44
4.851888,6584,6576,269,27,7.43
4.951848,6584,6576,319,27,7.43
5.051884,6584,6576,319,27,7.43
5.15185,6584,6576,319,27,7.43
5.251883,6584,6576,368,27,7.43
5.351851,6584,6576,368,27,7.43
5.451881,6584,6576,368,27,7.43
5.551848,6584,6576,368,27,7.43
5.651883,6584,6576,433,27,7.43
5.751848,6584,6576,433,27,7.43
5.851888,6584,6576,433,27,7.43
5.95185,6584,6576,482,27,7.43
6.051884,6584,6576,482,27,7.43
6.151848,6584,6576,482,27,7.43
6.251882,6584,6576,532,27,7.43
6.351852,6584,6576,532,27,6.09
6.451884,6584,6576,532,27,6.09
6.551848,6584,6576,532,27,6.09
6.651884,6584,6576,597,27,6.09
6.751848,6584,6576,597,27,6.09
6.851894,6584,6576,597,27,6.09
6.951848,6584,6576,134,27,6.09
7.051884,6584,6576,134,27,6.09
7.15185,6584,6576,134,27,6.11
7.251885,6584,6576,182,27,6.11
7.351858,6584,6576,182,27,6.11
7.451884,6584,6576,182,26,6.11
7.551859,6584,6576,182,26,6.11
7.651883,6584,6576,249,26,6.11
7.751849,6584,6576,249,26,6.11
7.851886,6584,6576,249,26,6.1
7.951847,6584,6576,298,26,6.1
8.051884,6584,6576,298,26,6.1
8.151849,6584,6576,298,26,6.1
8.251882,6584,6576,348,26,6.1
8.351851,6584,6576,348,26,6.1
8.451884,6584,6576,348,27,6.1
8.551849,6584,6576,348,27,6.1
8.651892,6584,6576,412,27,6.1
8.751847,6584,6576,412,27,6.1
8.851895,6584,6576,412,27,6.07
8.951848,6584,6576,462,27,6.07
9.051883,6584,6576,462,27,6.07
9.151849,6584,6576,462,27,6.03
9.251903,6584,6576,511,27,6.03
9.351849,6584,6576,511,27,6.09
9.451898,6584,6576,511,26,6.09
9.551849,6584,6576,511,26,6.08
9.651922,6584,6576,576,26,6.08
9.751849,6584,6576,576,26,6.08
9.851884,6584,6576,576,26,6.09
9.951847,6584,6576,626,26,6.09
10.051892,6584,6576,626,26,6.09
10.151848,6584,6576,626,26,6.11
10.251883,6584,6576,162,26,6.11
10.351849,6584,6576,162,26,6.11
10.451884,6584,6576,162,26,6.11
10.551849,6584,6576,162,26,6.11
10.651883,6584,6576,226,26,6.11
10.751849,6584,6576,226,26,6.11
10.851887,6584,6576,226,26,6.1
10.951858,6584,6576,276,26,6.1
11.051884,6584,6576,276,26,6.1
11.15185,6584,6576,276,26,6.07
11.25189,6584,6576,325,26,6.07
11.35185,6584,6576,325,26,6.03
11.451894,6584,6576,325,26,6.03
11.551859,6584,6576,325,26,6.09
11.651884,6584,6576,390,26,6.09
11.751878,6584,6576,390,26,6.09
11.851895,6584,6576,390,26,6.09
11.951878,6584,6576,440,26,6.09
12.051917,6584,6576,440,26,6.09
12.151867,6584,6576,440,26,6.09
12.251901,6584,6576,489,26,6.09
12.35185,6584,6576,489,26,6.09
12.451883,6584,6576,489,26,6.09
12.551847,6584,6576,489,26,6.09
12.651883,6584,6576,554,26,6.09
12.751849,6584,6576,554,26,6.09
