t__s,ACT_TILT_CENTER_REAR.Position_CMD,ACT_TILT_CENTER_REAR.Position_FB,ACT_TILT_CENTER_REAR.Torque_FB,ACT_TILT_CENTER_REAR.Temperature_FB__dC,ACT_TILT_CENTER_REAR.Voltage_FB__V
0.031901,7757,7724,888,26,6.05
0.131899,7757,7724,888,26,6.05
0.231902,7757,7724,888,26,6.07
0.3319,7757,7724,646,26,6.07
0.4319,7757,7724,646,26,6.07
0.531901,7757,7724,646,26,6.06
0.6319,7757,7724,849,26,6.06
0.7319,7757,7724,849,26,6.06
0.831901,7757,7724,849,26,6.05
0.931898,7757,7724,539,26,6.05
1.035941,6296,7692,539,26,5.53
1.135954,6296,6360,539,26,5.53
1.235941,6296,6292,539,26,7.43
1.335955,6296,6292,126,26,7.43
1.435941,6296,6292,126,26,7.43
1.535939,6296,6292,126,26,7.42
1.63594,6296,6288,134,26,7.42
1.735956,6296,6288,134,26,7.42
1.835957,6296,6288,134,26,7.43
1.93594,6296,6288,126,26,7.43
2.035956,6296,6288,126,26,7.42
2.135954,6296,6292,126,26,7.42
2.235962,6296,6288,126,26,7.43
2.335963,6296,6288,0,26,7.43
2.435957,6296,6288,0,26,7.43
2.535941,6296,6288,0,26,7.43
2.635956,6296,6288,131,26,7.43
2.735955,6296,6288,131,26,7.43
2.835955,6296,6288,131,26,7.43
2.935955,6296,6288,131,26,7.43
3.035955,6296,6288,131,26,7.43
3.13594,6296,6288,131,26,7.43
3.235956,6296,6288,131,26,7.43
3.33594,6296,6288,151,26,7.43
3.435939,6296,6288,151,26,7.43
3.535939,6296,6288,151,26,7.43
3.635955,6296,6288,131,26,7.43
3.735955,6296,6288,131,26,7.43
3.83594,6296,6288,131,26,7.43
3.93594,6296,6288,180,26,7.43
4.035939,6296,6288,180,26,7.43
4.135941,6296,6288,180,26,7.43
4.235955,6296,6288,180,26,7.43
4.335941,6296,6288,145,26,7.43
4.43594,6296,6288,145,26,7.43
4.53594,6296,6288,145,26,7.43
4.635957,6296,6288,139,26,7.43
4.73594,6296,6288,139,26,7.43
4.835957,6296,6288,139,26,7.43
4.935964,6296,6288,150,26,7.43
5.035941,6296,6288,150,26,7.43
5.135956,6296,6288,150,27,7.43
5.235956,6296,6288,150,27,7.43
5.335956,6296,6288,134,27,7.43
5.435955,6296,6288,134,27,7.43
5.535941,6296,6288,134,27,7.43
5.635955,6296,6288,182,27,7.43
5.735941,6296,6288,182,27,7.43
5.835941,6296,6288,182,27,7.43
5.935939,6296,6288,232,27,7.43
6.035941,6296,6288,232,27,7.43
6.135956,6296,6288,232,27,7.43
6.23594,6296,6288,232,27,7.43
6.33598,6296,6288,162,27,7.43
6.435955,6296,6288,162,27,7.43
6.535939,6296,6288,162,27,6.09
6.635967,6296,6288,211,27,6.09
6.735954,6296,6288,211,27,6.09
6.835956,6296,6288,211,27,6.09
6.935954,6296,6288,261,27,6.09
7.035941,6296,6288,261,27,6.09
7.135955,6296,6288,261,27,6.09
7.23594,6296,6288,261,27,6.09
7.335941,6296,6288,133,27,6.09
7.435955,6296,6288,133,27,6.09
7.535935,6296,6288,133,27,6.09
7.635972,6296,6288,182,27,6.09
7.73591,6296,6288,182,27,6.09
7.835941,6296,6288,182,27,6.09
7.935955,6296,6288,232,27,6.09
8.035973,6296,6288,232,27,6.09
8.135983,6296,6288,232,26,6.09
8.235955,6296,6288,232,26,6.09
8.33593,6296,6288,296,26,6.09
8.435955,6296,6288,296,26,6.09
8.535973,6296,6288,296,26,6.09
8.635957,6296,6288,346,26,6.09
8.73594,6296,6288,346,26,6.09
8.835956,6296,6288,346,26,6.09
8.93594,6296,6288,156,26,6.09
9.035964,6296,6288,156,26,6.09
9.135933,6296,6288,156,26,6.09
9.235941,6296,6288,156,26,6.09
9.33594,6296,6288,221,26,6.09
9.435965,6296,6288,221,26,6.09
9.53594,6296,6288,221,26,6.09
9.635941,6296,6288,145,26,6.09
9.73594,6296,6288,145,26,6.09
9.835921,6296,6288,145,26,6.09
9.935939,6296,6288,194,26,6.09
10.035957,6296,6288,194,26,6.09
10.13594,6296,6288,194,26,6.09
10.235983,6296,6288,194,26,6.09
10.335957,6296,6288,259,26,6.09
10.435973,6296,6288,259,26,6.09
10.53594,6296,6288,259,26,6.09
10.635941,6296,6288,308,26,6.09
10.735964,6296,6288,308,26,6.09
10.835955,6296,6288,308,26,6.09
10.935955,6296,6288,356,26,6.09
11.035941,6296,6288,356,26,6.09
11.135941,6296,6288,356,26,6.09
11.235955,6296,6288,356,26,6.09
11.335939,6296,6288,184,26,6.09
11.435941,6296,6288,184,26,6.09
11.535958,6296,6288,184,26,6.09
11.635956,6296,6288,232,26,6.09
11.735941,6296,6288,232,26,6.09
11.835941,6296,6288,232,26,6.09
11.93594,6296,6288,281,26,6.09
12.035939,6296,6288,281,26,6.09
12.135941,6296,6288,281,26,6.09
12.235965,6296,6288,281,26,6.09
12.33594,6296,6288,145,26,6.09
12.435988,6296,6288,145,26,6.09
12.535939,6296,6288,145,26,6.09
12.635939,6296,6288,194,26,6.09
12.735941,6296,6288,194,26,6.09
12.835973,6296,6288,194,26,6.09
12.935941,6296,6288,242,26,6.09
13.035955,6296,6288,242,26,6.09
13.135955,6296,6288,242,26,6.09
13.235967,6296,6288,242,26,6.09
13.33594,6296,6288,308,26,6.09
13.435963,6296,6288,308,26,6.09
13.535941,6296,6288,308,26,6.09
13.635956,6296,6288,356,26,6.09
13.735957,6296,6288,356,26,6.09
13.835941,6296,6288,356,26,6.09
13.93594,6296,6288,406,26,6.09
14.035941,6296,6288,406,26,6.09
14.135955,6296,6288,406,26,6.09
14.235954,6296,6288,406,26,6.08
14.33594,6296,6288,472,26,6.08
14.435955,6296,6288,472,26,6.08
14.53594,6296,6288,472,26,6.08
14.63594,6296,6288,520,26,6.08
14.735955,6296,6288,520,26,6.08
14.835941,6296,6288,520,26,6.09
14.935939,6296,6288,170,26,6.09
15.035941,6296,6288,170,26,6.09
15.135941,6296,6288,170,26,6.09
15.23597,6296,6288,170,26,6.09
15.335955,6296,6288,237,26,6.09
15.435955,6296,6288,237,26,6.09
15.535939,6296,6288,237,26,6.09
15.635933,6296,6288,139,26,6.09
15.735939,6296,6288,139,26,6.09
15.835956,6296,6288,139,26,6.09
15.935956,6296,6288,189,26,6.09
16.035957,6296,6288,189,26,6.09
16.13594,6296,6288,189,26,6.09
16.235989,6296,6288,189,26,6.09
16.33594,6296,6288,254,26,6.09
16.435982,6296,6288,254,26,6.09
16.535955,6296,6288,254,26,6.09
16.635989,6296,6288,303,26,6.09
16.735955,6296,6288,303,26,6.09
16.835982,6296,6288,303,26,6.09
16.93594,6296,6288,353,26,6.09
17.035962,6296,6288,353,26,6.09
17.13594,6296,6288,353,26,6.09
17.235961,6296,6288,353,26,6.09
17.33594,6296,6288,418,26,6.09
17.43594,6296,6288,418,26,6.09
17.53594,6296,6288,418,26,6.08
17.635955,6296,6288,467,26,6.08
17.735955,6296,6288,467,26,6.08
17.835955,6296,6288,467,26,6.08
17.93594,6296,6288,516,26,6.08
18.035924,6296,6288,516,26,6.08
18.13594,6296,6288,516,26,6.08
18.235941,6296,6288,516,26,6.08
18.335962,6296,6288,581,26,6.08
18.435961,6296,6288,581,26,6.08
18.535981,6296,6288,581,26,6.09
18.635955,6296,6288,133,26,6.09
18.735939,6296,6288,133,26,6.09
18.835941,6296,6288,133,26,6.09
18.935939,6296,6288,131,26,6.09
19.035918,6296,6288,131,26,6.09
19.13594,6296,6288,131,26,6.09
19.235956,6296,6288,131,26,6.03
19.335958,6296,6288,126,26,6.03
19.435956,6296,6292,126,26,6.03
19.53594,6296,6288,126,26,6.09
19.63594,6296,6288,131,26,6.09
19.735939,6296,6288,131,26,6.09
19.835941,6296,6288,131,26,6.09
19.935957,6296,6288,127,26,6.09
20.035957,6296,6288,127,26,6.09
20.13594,6296,6288,127,26,6.09
20.23594,6296,6292,127,26,6.09
20.33594,6296,6288,126,26,6.09
20.435961,6296,6288,126,26,6.09
20.535966,6296,6288,126,26,6.09
20.635957,6296,6288,127,26,6.09
20.735937,6296,6288,127,26,6.09
20.835954,6296,6288,127,26,6.09
20.93594,6296,6288,126,26,6.09
21.035962,6296,6288,126,26,6.09
21.135955,6296,6292,126,26,6.09
21.235957,6296,6288,126,26,6.09
21.33594,6296,6288,136,26,6.09
21.43594,6296,6288,136,26,6.09
21.535941,6296,6288,136,26,6.09
21.635939,6296,6288,327,26,6.09
21.735941,6296,6288,327,26,6.09
21.83594,6296,6288,327,26,6.09
21.935968,6296,6288,127,26,6.09
22.035941,6296,6288,127,26,6.09
22.13594,6296,6288,127,26,6.09
22.23594,6296,6288,127,26,6.09
22.335954,6296,6288,126,26,6.09
22.435956,6296,6288,126,26,6.09
22.535956,6296,6288,126,26,6.09
22.635941,6296,6292,129,26,6.09
22.735956,6296,6288,129,26,6.09
22.835939,6296,6288,129,26,6.09
22.935955,6296,6288,126,26,6.09
23.03594,6296,6288,126,26,6.09
23.135955,6296,6288,126,26,6.09
23.235964,6296,6288,126,26,6.09
23.335939,6296,6292,126,26,6.09
23.435974,6296,6288,126,26,6.09
23.535957,6296,6288,126,26,6.09
23.635965,6296,6288,126,26,6.09
23.735971,6296,6288,126,26,6.09
23.835939,6296,6288,126,26,6.09
23.935981,6296,6288,0,26,6.09
24.035962,6296,6288,0,26,6.09
24.135969,6296,6288,0,26,6.09
24.235955,6296,6288,0,26,6.09
24.335974,6296,6288,126,26,6.09
24.435963,6296,6288,126,26,6.09
24.536004,6296,6288,126,26,6.09
24.635979,6296,6288,126,26,6.09
24.735978,6296,6288,126,26,6.09
24.835961,6296,6292,126,26,5.99
24.935981,6296,6288,134,26,5.99
25.035938,6296,6288,134,26,6.09
25.135969,6296,6288,134,26,6.09
25.235964,6296,6288,134,26,6.09
25.33594,6296,6288,126,26,6.09
25.43594,6296,6288,126,26,6.09
25.535941,6296,6288,126,26,6.09
25.635962,6296,6288,129,26,6.09
25.735955,6296,6288,129,26,6.09
25.835939,6296,6288,129,26,6.09
25.935955,6296,6288,127,26,6.09
26.035963,6296,6288,127,26,6.08
26.135941,6296,6288,127,26,6.08
26.235956,6296,6288,127,26,6.09
26.33594,6296,6288,138,26,6.09
26.43596,6296,6288,138,26,6.09
26.53594,6296,6288,138,26,6.09
26.635955,6296,6288,163,26,6.09
26.735939,6296,6288,163,26,6.09
26.835964,6296,6288,163,26,6.09
26.93594,6296,6288,136,26,6.09
27.035955,6296,6288,136,26,6.09
27.135941,6296,6288,136,26,6.09
27.235964,6296,6288,136,26,6.09
27.335941,6296,6288,133,26,6.09
27.43594,6296,6292,133,26,6.09
27.535941,6296,6292,133,26,6.09
27.635963,6296,6288,127,26,6.09
27.735956,6296,6288,127,26,6.09
27.835955,6296,6288,127,26,6.09
27.93594,6296,6288,127,26,6.09
28.035971,6296,6288,127,26,6
28.135955,6296,6288,127,26,6
28.235956,6296,6288,127,26,6.09
28.335961,6296,6288,126,26,6.09
28.435941,6296,6288,126,26,6.09
28.535941,6296,6288,126,26,6.09
28.635956,6296,6288,151,26,6.09
28.73594,6296,6288,151,26,6.09
28.835964,6296,6288,151,26,6.09
28.93594,6296,6292,0,26,6.09
29.035963,6296,6288,0,26,6.09
29.135941,6296,6288,0,26,6.09
29.235962,6296,6288,0,26,6.09
29.335913,6296,6288,127,26,6.09
29.435955,6296,6288,127,26,6.09
29.535911,6296,6288,127,26,6.09
29.635962,6296,6288,131,26,6.09
29.73593,6296,6288,131,26,6.09
29.835955,6296,6288,131,26,6.09
29.93594,6296,6292,0,26,6.09
30.035959,6296,6288,0,26,6.09
30.135941,6296,6288,0,26,6.09
30.235955,6296,6288,0,26,6.09
30.33594,6296,6288,136,26,6.09
30.435964,6296,6288,136,26,6.09
30.535964,6296,6288,136,26,6.07
30.63594,6296,6288,134,26,6.07
30.73598,6296,6288,134,26,6.07
30.835965,6296,6288,134,26,6.09
30.935957,6296,6288,131,26,6.09
31.035956,6296,6288,131,26,6.09
31.135956,6296,6288,131,26,6.09
31.235962,6296,6288,131,26,6.09
31.335941,6296,6288,129,26,6.09
31.435955,6296,6288,129,26,6.09
31.53594,6296,6288,129,26,6.09
31.635961,6296,6288,126,26,6.09
31.735938,6296,6288,126,26,6.09
31.835962,6296,6288,126,26,6.09
31.935955,6296,6288,126,26,6.09
32.035976,6296,6288,126,26,6.09
32.135955,6296,6288,126,26,6.09
32.235956,6296,6288,126,26,6.09
32.335961,6296,6288,126,26,6.09
32.435987,6296,6288,126,26,6.09
32.53594,6296,6288,126,26,6.09
32.635989,6296,6288,133,26,6.09
32.735956,6296,6288,133,26,6.09
32.83599,6296,6288,133,26,6.09
32.935955,6296,6288,126,26,6.09
33.035924,6296,6288,126,26,6.09
33.13594,6296,6288,126,26,6.09
33.235937,6296,6288,126,26,6.09
33.33594,6296,6288,136,26,6.09
33.435969,6296,6288,136,26,6.09
33.535957,6296,6288,136,26,6.09
33.635962,6296,6288,133,26,6.09
33.735939,6296,6288,133,26,6.09
33.835964,6296,6288,133,26,6.09
33.935955,6296,6288,163,26,6.09
34.035961,6296,6288,163,26,5.97
34.13594,6296,6288,163,26,5.97
34.235955,6296,6288,163,26,6.07
34.335955,6296,6288,131,26,6.07
34.435962,6296,6288,131,26,6.07
34.535939,6296,6288,131,26,6.08
