t__s,ACT_ELEVATOR.Position_CMD,ACT_ELEVATOR.Position_FB,ACT_ELEVATOR.Torque_FB,ACT_ELEVATOR.Temperature_FB__dC,ACT_ELEVATOR.Voltage_FB__V
0.04,8904,8908,0,5,6.08
0.140001,8904,8908,0,5,6.08
0.24,8904,8908,0,5,6.08
0.340001,8904,8908,0,5,6.08
0.44,8904,8908,0,5,6.09
0.540001,8904,8908,0,5,6.09
0.64,8904,8908,0,5,6.09
0.740001,8904,8908,0,5,6.09
0.84,8904,8908,0,5,6.09
0.940046,8904,8908,0,5,6.09
1.04045,9256,8908,0,5,6.09
1.140357,9256,9108,0,5,6.09
1.240249,9256,9256,0,5,6.06
1.340152,9256,9256,0,5,6.06
1.440054,9256,9256,0,5,7.39
1.540001,9256,9256,0,5,7.39
1.64,9256,9256,0,5,7.42
1.740001,9256,9256,0,5,7.42
1.84,9256,9256,0,5,7.42
1.940001,9256,9256,0,5,7.42
2.040005,9256,9256,0,5,7.42
2.140006,9256,9256,0,5,7.42
2.240008,9256,9256,0,5,7.42
2.340001,9256,9256,0,5,7.42
2.44,9256,9256,0,5,7.42
2.540001,9256,9256,0,5,7.42
2.64,9256,9256,0,5,7.41
2.740001,9256,9256,0,5,7.41
2.84,9256,9256,0,5,7.41
2.940001,9256,9256,0,5,7.42
3.040013,9256,9256,0,5,7.42
3.140544,9256,9256,0,5,7.42
3.240402,9256,9256,0,5,7.41
3.340356,9256,9256,0,5,7.41
3.440198,9256,9256,0,5,7.41
3.540174,9256,9256,0,5,7.41
3.640004,9256,9256,0,5,7.42
3.740001,9256,9256,0,5,7.42
3.84,9256,9256,0,5,7.42
3.940001,9256,9256,0,5,7.41
4.04,9256,9256,0,5,7.41
4.140001,9256,9256,0,5,7.41
4.24,9256,9256,0,5,7.42
4.340001,9256,9256,0,5,7.42
4.44,9256,9256,0,5,7.41
4.540001,9256,9256,0,5,7.41
4.64,9256,9256,0,5,7.41
4.740003,9256,9256,0,5,7.41
4.84,9256,9256,0,5,7.41
4.940001,9256,9256,0,5,7.41
5.040001,9256,9256,0,5,7.41
5.140001,9256,9256,0,5,7.41
5.240319,9256,9256,0,5,7.42
5.340215,9256,9256,0,5,7.42
5.440116,9256,9256,0,5,7.41
5.54002,9256,9256,0,5,7.41
5.64,9256,9256,0,5,7.42
5.740001,9256,9256,0,5,7.42
5.84,9256,9256,0,5,7.42
5.940001,9256,9256,0,5,7.41
6.04,9256,9256,0,5,7.41
6.140001,9256,9256,0,5,7.41
6.24,9256,9256,0,5,6.66
6.340001,9256,9256,0,5,6.66
6.44,9256,9256,0,5,6.1
6.540001,9256,9256,0,5,6.1
6.64,9256,9256,0,5,6.1
6.740001,9256,9256,0,5,6.1
6.84,9256,9256,0,5,6.1
6.940001,9256,9256,0,5,6.11
7.04,9256,9256,0,5,6.11
7.140028,9256,9256,0,5,6.11
7.240352,9256,9256,0,5,6.11
7.340245,9256,9256,0,5,6.11
7.440148,9256,9256,0,5,6.11
7.540051,9256,9256,0,5,6.11
7.64,9256,9256,0,5,6.11
7.740001,9256,9256,0,5,6.11
7.84,9256,9256,0,5,6.11
7.940001,9256,9256,0,5,6.11
8.04,9256,9256,0,5,6.11
8.140001,9256,9256,0,5,6.11
8.24,9256,9256,0,5,6.11
8.340001,9256,9256,0,5,6.11
8.440005,9256,9256,0,5,6.11
8.540011,9256,9256,0,5,6.11
8.64,9256,9256,0,5,6.11
8.740001,9257,9256,0,5,6.11
8.84,9242,9256,0,5,6.11
8.940001,9241,9248,0,5,6.03
9.04,9240,9244,0,5,6.03
9.140001,9240,9244,0,5,6.03
9.24,9240,9244,0,5,6.09
9.340374,9240,9244,0,5,6.09
9.440268,9245,9244,0,5,6.1
9.540172,9249,9244,0,5,6.1
9.640074,9251,9244,0,5,6.1
9.740001,9251,9248,0,5,6.1
9.84,9251,9248,0,5,6.1
9.940001,9251,9248,0,5,6.11
10.04,9251,9248,0,5,6.11
10.140001,9258,9248,0,5,6.11
10.24,9258,9252,0,5,6.03
10.340001,9258,9252,56,5,6.03
10.44,9258,9252,56,5,6.09
10.540001,9258,9252,56,5,6.09
10.64,9255,9252,56,5,6.1
10.740001,9252,9252,0,5,6.1
10.84,9255,9252,0,5,6.1
10.940001,9255,9252,0,5,6.06
11.04,9255,9252,0,5,6.06
11.140001,9255,9252,0,5,6.06
11.240043,9255,9252,0,5,6.09
11.340391,9255,9252,0,5,6.09
11.440287,9255,9252,0,5,6.1
11.540191,9255,9252,0,5,6.1
11.640093,9255,9252,0,5,6.1
11.740001,9256,9252,0,5,6.1
11.840001,9256,9252,0,5,6.1
11.940001,9264,9252,0,5,6.11
12.04,9261,9260,0,5,6.11
12.140001,9256,9260,0,5,6.11
12.24,9255,9260,0,5,6.1
12.340001,9267,9260,46,5,6.1
12.44,9273,9260,46,5,6.1
12.540001,9284,9268,46,5,6.1
12.64,9287,9276,46,5,6.1
12.740001,9294,9280,64,5,6.1
12.84,9585,9288,64,5,6.1
12.940001,10234,9376,64,5,6.03
13.04,10234,10176,201,5,6.03
13.140001,10234,10232,201,5,6.03
13.24,10234,10232,201,5,6.11
13.34001,10234,10232,0,5,6.11
13.440446,10234,10232,0,5,6.11
13.540349,10234,10232,0,5,6.11
13.640243,10234,10232,0,5,6.11
13.740147,10234,10232,0,5,6.11
13.84005,9261,10232,0,5,6.11
13.940001,9248,9448,0,5,6.07
14.04,9247,9248,0,5,6.07
14.140001,9247,9248,0,5,6.07
14.24,9245,9248,0,5,6.11
14.340001,8406,9248,0,5,6.11
14.440001,8406,9224,0,5,6.09
14.540001,8406,8432,0,5,6.09
14.64,8406,8408,0,5,6.11
14.740001,8406,8408,0,5,6.11
14.84,8406,8408,0,5,6.11
14.940001,8406,8408,0,5,6.11
15.04,8406,8408,0,5,6.11
15.140001,9262,8408,0,5,6.11
15.24,9254,8960,0,5,5.99
15.340001,9253,9256,0,5,5.99
15.44,9253,9256,0,5,6.11
15.540305,9253,9256,0,5,6.11
15.640199,9253,9256,0,5,6.11
15.740103,9253,9256,0,5,6.11
15.840006,9253,9256,0,5,6.11
15.940001,9253,9256,0,5,6.11
16.04,9253,9256,0,5,6.11
16.140001,9253,9256,0,5,6.11
16.24,9253,9256,0,5,6.11
16.340001,9253,9256,0,5,6.11
16.44,9253,9256,0,5,6.1
16.540001,9253,9256,0,5,6.1
16.64,9253,9256,0,5,6.1
16.740001,9253,9256,0,5,6.1
16.84,9253,9256,0,5,6.1
16.940001,9253,9256,0,5,6.1
17.04,9253,9256,0,5,6.1
17.140001,9253,9256,0,5,6.1
17.24,9253,9256,0,5,6.11
17.340001,9253,9256,0,5,6.11
17.440035,9253,9256,0,5,6.06
17.540443,9253,9256,0,5,6.06
17.640357,9253,9256,0,5,6.11
17.740241,9253,9256,0,5,6.11
17.840157,9253,9256,0,5,6.11
17.940048,9253,9256,0,5,6.11
18.040001,9253,9256,0,5,6.11
18.140001,9253,9256,0,5,6.11
18.24,9253,9256,0,5,6.1
18.340001,9253,9256,0,5,6.1
18.44,9253,9256,0,5,6.11
18.540001,9253,9256,0,5,6.11
18.64,9253,9256,0,5,6.1
18.740001,9253,9256,0,5,6.1
18.84,9253,9256,0,5,6.1
18.940001,9253,9256,0,5,6.11
19.04,9253,9256,0,5,6.11
19.140001,9253,9256,0,5,6.11
19.24,9253,9256,0,5,6.11
19.340001,9253,9256,0,5,6.11
19.44,9253,9256,0,5,6.11
19.540002,9253,9256,0,5,6.11
19.640388,9253,9256,0,5,6.11
19.740274,9253,9256,0,5,6.11
19.840178,9253,9256,0,5,6.11
19.940081,9253,9256,0,5,6.11
20.040001,9253,9256,0,5,6.11
20.140001,9253,9256,0,5,6.11
20.24,9253,9256,0,5,6.1
20.340001,9253,9256,0,5,6.1
20.44,9253,9256,0,5,6.11
20.540001,9253,9256,0,5,6.11
20.64,9253,9256,0,5,6.11
20.740001,9253,9256,0,5,6.11
20.84,9253,9256,0,5,6.11
20.940001,9253,9256,0,5,6.11
21.04,9253,9256,0,5,6.11
21.140001,9253,9256,0,5,6.11
21.24,9253,9256,0,5,6.1
21.340001,9253,9256,0,5,6.1
21.44,9256,9256,0,5,6.11
21.540001,9256,9256,0,5,6.11
21.640453,9256,9256,0,5,6.08
21.740363,9256,9256,0,5,6.08
21.840258,9256,9256,0,5,6.08
21.940161,9256,9256,0,5,6.07
22.040063,9256,9256,0,5,6.07
22.140001,9256,9256,0,5,6.07
22.24,9256,9256,0,5,6.05
22.340001,9256,9256,0,5,6.05
22.44,9256,9256,0,5,6.07
22.540013,9256,9256,0,5,6.07
22.64,9256,9256,0,5,6.08
22.740001,9256,9256,0,5,6.08
22.84,9256,9256,0,5,6.08
22.940001,9256,9256,0,5,6.08
23.040001,9256,9256,0,5,6.08
23.140001,9256,9256,0,5,6.08
23.240001,9256,9256,0,5,6.06
23.340001,9256,9256,0,5,6.06
23.44,9256,9256,0,5,6.06
23.540001,9256,9256,0,5,6.06
23.640026,9256,9256,0,5,6.07
23.740462,9256,9256,0,5,6.07
23.840403,9256,9256,0,5,6.07
23.940259,9256,9256,0,5,6.06
24.0402,9256,9256,0,5,6.06
24.140063,9256,9256,0,5,6.06
24.240026,9256,9256,0,5,6.06
24.340001,9256,9256,0,5,6.06
24.44,9256,9256,0,5,6.07
