t__s,ACT_AILERON_RIGHT.Position_CMD,ACT_AILERON_RIGHT.Position_FB,ACT_AILERON_RIGHT.Torque_FB,ACT_AILERON_RIGHT.Temperature_FB__dC,ACT_AILERON_RIGHT.Voltage_FB__V
-0.027891,8044,8032,221,7,6.06
0.07195,8044,8036,196,7,6.06
0.17195,8044,8036,196,7,6.06
0.271987,8044,8036,196,7,6.04
0.37195,8044,8036,204,7,6.04
0.471965,8044,8036,204,7,6.07
0.571951,8044,8036,204,7,6.07
0.671989,8044,8036,204,7,6.04
0.77195,8044,8036,214,7,6.04
0.871949,8044,8036,214,7,6.04
0.972108,8044,8036,214,7,6.05
1.080032,7410,7628,998,7,6.05
1.180011,7423,7444,998,7,6.05
1.280039,7423,7440,998,7,7.46
1.380019,8715,7512,1593,7,7.46
1.480009,7481,8656,1593,7,7.42
1.580005,7333,7504,1593,7,7.42
1.680016,7039,7260,1593,7,7.45
1.779994,7039,7052,172,7,7.45
1.880018,7039,7048,172,7,7.45
1.97997,7391,7320,172,7,7.45
2.080006,7369,7376,0,7,7.45
2.179969,7367,7376,0,7,7.45
2.280009,7362,7372,0,7,7.47
2.379969,7371,7372,0,7,7.47
2.480008,7371,7372,0,7,7.46
2.579969,7376,7372,0,7,7.46
2.680015,7376,7372,0,7,7.47
2.77997,7382,7376,54,7,7.47
2.880017,7412,7392,54,7,7.47
2.979977,8715,7632,54,7,7.44
3.080007,8715,8664,423,7,7.44
3.179976,7428,8696,423,7,7.44
3.280007,7331,7472,423,7,7.42
3.379969,7039,7236,554,7,7.42
3.480008,7039,7060,554,7,7.46
3.579968,7303,7056,554,7,7.46
3.680008,7389,7296,554,7,7.46
3.77997,7367,7380,131,7,7.46
3.880007,7352,7364,131,7,7.46
3.979969,7346,7356,131,7,7.46
4.080008,7366,7352,107,7,7.46
4.179967,7414,7384,107,7,7.46
4.280006,7449,7440,107,7,7.46
4.379968,7452,7444,64,7,7.46
4.480007,7450,7444,64,7,7.47
4.579968,7423,7440,64,7,7.47
4.680008,8715,7648,64,7,7.45
4.779967,8715,8592,607,7,7.45
4.880025,8715,8696,607,7,7.45
4.979967,7380,8028,607,7,7.41
5.079992,7039,7204,692,7,7.41
5.179969,7039,7060,692,7,7.41
5.280008,7039,7056,692,7,7.46
5.379969,7371,7144,1383,7,7.46
5.480016,7367,7372,1383,7,7.46
5.579967,7333,7356,1383,7,7.46
5.680007,7314,7328,1383,7,7.46
5.779969,7350,7324,0,7,7.46
5.880012,7369,7364,0,7,7.46
5.979967,7398,7380,0,7,7.46
6.080037,7415,7408,52,7,7.46
6.179977,7394,7404,52,7,7.46
6.280019,7425,7420,52,7,6.12
6.379969,8691,7456,68,7,6.12
6.479993,8715,8272,68,7,6.03
6.579969,7661,8684,68,7,6.03
6.679991,7336,7884,68,7,6.05
6.77997,7039,7204,486,7,6.05
6.87999,7039,7068,486,7,6.05
6.97997,7039,7060,486,7,6.11
7.079992,7369,7104,1481,7,6.11
7.179968,7392,7360,1481,7,6.11
7.27999,7405,7396,1481,7,6.12
7.379976,7405,7400,34,7,6.12
7.479991,7405,7400,34,7,6.12
7.579969,7405,7400,34,7,6.12
7.679992,7405,7400,34,7,6.12
7.779967,7405,7400,40,7,6.12
7.879992,7405,7400,40,7,6.12
7.97997,7405,7400,40,7,6.12
8.079998,7405,7400,46,7,6.12
8.179976,7405,7400,46,7,6.12
8.279992,7405,7400,46,7,6.12
8.379976,7405,7400,51,7,6.12
8.479994,7405,7400,51,7,6.12
8.579968,7405,7400,51,7,6.12
8.679993,7405,7400,51,7,6.12
8.779969,7405,7400,58,7,6.12
8.879993,7405,7400,58,7,6.12
8.979969,7405,7400,58,7,6.12
9.079992,7480,7424,242,7,6.12
9.179971,7443,7472,242,7,6.12
9.279993,7417,7436,242,7,6.12
9.379978,7458,7432,110,7,6.12
9.479992,7473,7464,110,7,6.12
9.579991,7449,7468,110,7,6.12
9.680003,7435,7452,110,7,6.12
9.779999,7441,7440,0,7,6.12
9.879991,7452,7444,0,7,6.12
9.979968,7449,7448,0,7,6.12
10.079993,7436,7448,102,7,6.12
10.179968,7436,7440,102,7,6.12
10.279994,7447,7440,102,7,6.12
10.379969,7465,7448,93,7,6.12
10.479994,7455,7464,93,7,6.12
10.57997,7421,7444,93,7,6.12
10.679992,7457,7432,93,7,6.12
10.779969,7474,7468,87,7,6.12
10.879991,7442,7468,87,7,6.12
10.979977,7425,7440,87,7,6.11
11.079993,7482,7448,158,7,6.11
11.179969,7505,7484,158,7,6.11
11.280001,7450,7484,158,7,5.96
11.37998,7425,7452,131,7,5.96
11.480001,7436,7440,131,7,5.95
11.579967,7438,7440,131,7,5.95
11.680012,7422,7440,131,7,5.95
11.779969,7413,7428,124,7,5.95
11.880018,7415,7424,124,7,5.95
11.979969,7418,7424,124,7,5.99
12.079952,7404,7424,107,7,5.99
12.17993,7403,7416,107,7,5.99
12.279953,7409,7412,107,7,6.06
12.379928,7410,7416,0,7,6.06
12.479956,7409,7412,0,7,6.12
12.579927,7396,7412,0,7,6.12
12.679949,7405,7404,0,7,6
12.779926,7426,7412,110,7,6
12.879948,7410,7424,110,7,6
12.979926,7374,7404,110,7,5.96
13.079948,7387,7388,56,7,5.96
13.179926,7403,7392,56,7,5.96
13.279948,7391,7396,56,7,6
13.379927,7380,7396,139,7,6
13.479949,7379,7392,139,7,5.98
13.579926,7377,7388,139,7,5.98
13.679949,7373,7388,139,7,5.98
13.779927,7372,7384,127,7,5.98
13.879949,7372,7380,127,7,5.98
13.979927,7372,7380,127,7,6
14.07995,7372,7380,100,7,6
14.179928,7372,7380,100,7,6
14.279949,7372,7380,100,7,6.01
14.379932,7372,7380,109,7,6.01
14.479948,7372,7380,109,7,6.01
14.579934,7372,7380,109,7,6.01
14.679947,7372,7380,109,7,6
14.779929,7372,7380,121,7,6
14.879957,7372,7380,121,7,6
14.979958,7372,7380,121,7,6.02
15.079949,7372,7380,127,7,6.02
15.179974,7372,7380,127,7,6.02
15.279948,7372,7380,127,7,6.1
15.379943,7372,7376,0,7,6.1
15.479949,7372,7376,0,7,6.11
15.579928,7372,7376,0,7,6.11
15.679949,7372,7376,0,7,6.12
15.779926,7372,7376,0,7,6.12
15.879961,7372,7376,0,7,6.12
15.979934,7372,7376,0,7,6.12
16.079981,7372,7376,0,7,6.12
16.179925,7372,7376,0,7,6.12
16.279976,7372,7376,0,7,6.12
16.379935,7372,7376,0,7,6.12
16.479964,7372,7376,0,7,6.12
16.579927,7372,7376,0,7,6.12
16.679949,7372,7376,0,7,6.12
16.779927,7372,7376,0,7,6.12
16.879948,7372,7376,0,7,6.12
16.979926,7372,7376,0,7,6.1
17.079947,7372,7376,286,7,6.1
17.179925,7372,7376,286,7,6.1
17.279949,7372,7376,286,7,6.11
17.379926,7372,7376,0,7,6.11
17.47995,7372,7376,0,7,6.12
17.579926,7372,7376,0,7,6.12
17.67995,7372,7376,0,7,6.11
17.779926,7372,7380,122,7,6.11
17.87995,7372,7376,122,7,6.11
17.979943,7372,7376,122,7,6.1
18.079949,7372,7376,0,7,6.1
18.179925,7372,7376,0,7,6.1
18.279951,7372,7376,0,7,6.12
18.379929,7372,7376,0,7,6.12
18.47995,7372,7376,0,7,6.11
18.579925,7372,7376,0,7,6.11
18.67995,7372,7376,0,7,6.11
18.779926,7372,7380,0,7,6.11
18.87996,7372,7376,0,7,6.11
18.979925,7372,7376,0,7,6.12
19.079949,7372,7376,0,7,6.12
19.179926,7372,7376,0,7,6.12
19.27995,7372,7376,0,7,6.12
19.379927,7372,7376,0,7,6.12
19.479948,7372,7376,0,7,6.11
19.579927,7372,7376,0,7,6.11
19.679949,7405,7376,0,7,6.12
19.779926,7438,7424,78,7,6.12
19.87995,7451,7456,78,7,6.12
19.979926,7425,7428,78,7,6.1
20.079952,7480,7428,230,7,6.1
20.179927,7532,7492,230,7,6.1
20.279949,7547,7536,230,7,6.09
20.379928,7569,7548,158,7,6.09
20.479951,7596,7568,158,7,6.04
20.579927,7590,7604,158,7,6.04
20.67995,7541,7564,158,7,6.09
20.779926,7561,7552,73,7,6.09
20.879949,7521,7548,73,7,6.09
20.979928,7524,7524,73,7,6.1
21.079951,7489,7520,175,7,6.1
21.179928,7471,7492,175,7,6.1
21.279951,7495,7472,175,7,6.08
21.379927,7488,7504,0,7,6.08
21.479949,7490,7476,0,7,6.06
21.579933,7470,7488,0,7,6.06
21.679967,7453,7464,0,7,6.06
21.779927,7477,7472,66,7,6.06
21.879977,7482,7476,66,7,6.06
21.979926,7554,7516,66,7,6.01
22.079978,7542,7548,73,7,6.01
22.179926,7605,7564,73,7,6.01
22.279949,7566,7592,73,7,6.08
22.379927,7524,7544,71,7,6.08
22.47995,7556,7540,71,7,6.11
22.579925,7545,7548,71,7,6.11
22.67995,7575,7556,71,7,6.01
22.779928,7647,7580,156,7,6.01
22.879949,7652,7652,156,7,6.01
22.979926,7663,7660,156,7,6
23.07995,7830,7660,271,7,6
23.179927,8306,8028,271,7,6
23.279951,8367,8324,271,7,6.02
23.379925,8423,8364,312,7,6.02
23.47995,8716,8532,312,7,6.07
23.579927,8716,8688,312,7,6.07
23.67995,8716,8688,312,7,6
23.779927,8716,8688,259,7,6
23.87995,8716,8688,259,7,6
23.979934,8716,8688,259,7,6.02
24.079962,8716,8688,288,7,6.02
24.179927,8716,8688,288,7,6.02
24.279967,8716,8688,288,7,5.97
24.379927,7378,8688,194,7,5.97
24.479949,7405,7632,194,7,5.97
24.579931,7432,7424,194,7,5.97
24.679953,7459,7448,194,7,6.01
24.779929,7486,7480,44,7,6.01
24.879951,7512,7504,44,7,6.01
24.979928,7539,7516,44,7,5.87
25.079966,7509,7564,262,7,5.87
25.179927,7647,7608,262,7,5.87
25.279956,7852,7680,262,7,5.93
25.379928,7796,7820,119,7,5.93
25.479951,7571,7732,119,7,5.84
25.579926,7683,7588,119,7,5.84
25.679948,7882,7588,119,7,5.84
25.779926,7960,7588,119,7,5.84
25.879949,7876,7588,119,7,5.84
