t__s,ACT_AILERON_LEFT.Position_CMD,ACT_AILERON_LEFT.Position_FB,ACT_AILERON_LEFT.Torque_FB,ACT_AILERON_LEFT.Temperature_FB__dC,ACT_AILERON_LEFT.Voltage_FB__V
0.031957,7494,7504,98,11,6.06
0.13198,7494,7504,98,11,6.06
0.231956,7494,7504,98,11,6.07
0.33198,7494,7504,109,11,6.07
0.431956,7494,7504,109,11,6.06
0.531979,7494,7504,109,11,6.06
0.631958,7494,7504,109,11,6.06
0.731979,7494,7504,122,11,6.06
0.831958,7494,7504,122,11,6.06
0.93198,7494,7504,122,11,6.06
1.031956,8192,7724,2112,11,6.06
1.131986,8183,8176,2112,11,6.06
1.231956,8183,8180,2112,11,7.47
1.33198,8183,8180,0,11,7.47
1.431957,8183,8180,0,11,7.5
1.531998,8183,8180,0,11,7.5
1.631956,8183,8180,0,11,7.49
1.732013,8183,8180,0,11,7.49
1.831955,8183,8180,0,11,7.49
1.932015,8183,8180,0,11,7.5
2.031958,8183,8180,0,11,7.5
2.131997,8183,8180,0,11,7.5
2.23196,8183,8180,0,11,7.49
2.331987,8183,8180,0,11,7.49
2.431958,8183,8180,0,11,7.5
2.53198,8183,8180,0,11,7.5
2.631957,8183,8180,0,11,7.49
2.73198,8183,8180,0,11,7.49
2.831957,8183,8180,0,11,7.49
2.931987,8183,8180,0,11,7.5
3.031957,8183,8180,0,11,7.5
3.131981,8183,8180,0,11,7.5
3.231955,8183,8180,0,11,7.5
3.331988,8184,8180,0,11,7.5
3.431964,8181,8180,0,11,7.5
3.531979,8177,8180,0,11,7.5
3.631956,8177,8180,0,11,7.49
3.73198,8177,8180,0,11,7.49
3.831956,8177,8180,0,11,7.49
3.932005,8177,8180,0,11,7.5
4.031955,8187,8180,64,11,7.5
4.132008,8189,8180,64,11,7.5
4.231955,8190,8184,64,11,7.49
4.332002,8191,8184,71,11,7.49
4.431958,8191,8184,71,11,7.5
4.53198,8190,8188,71,11,7.5
4.631957,8180,8184,71,11,7.5
4.731988,8175,8180,47,11,7.5
4.831959,8178,8180,47,11,7.5
4.93198,8178,8180,47,11,7.5
5.031957,8183,8180,0,11,7.5
5.131988,8188,8180,0,11,7.5
5.231957,8256,8236,0,11,7.49
5.331979,8517,8492,87,11,7.49
5.43196,8517,8504,87,11,7.49
5.531987,8517,8504,87,11,7.49
5.631957,8517,8504,87,11,7.49
5.731979,8517,8504,170,11,7.49
5.831964,8517,8504,170,11,7.49
5.931987,8517,8504,170,11,7.49
6.031956,8517,8504,184,11,7.49
6.131979,8517,8504,184,11,7.49
6.231956,8517,8504,184,11,6.13
6.33198,8517,8504,197,11,6.13
6.431955,8517,8504,197,11,6.13
6.531981,8517,8504,197,11,6.13
6.631956,8517,8504,197,11,6.13
6.73198,8517,8504,214,11,6.13
6.831958,8517,8504,214,11,6.13
6.931981,8517,8504,214,11,6.13
7.031955,8517,8504,228,11,6.13
7.13198,8517,8504,228,11,6.13
7.231956,8517,8504,228,11,6.13
7.331979,8517,8504,242,11,6.13
7.431955,8517,8504,242,11,6.13
7.53198,8517,8504,242,11,6.13
7.631988,8517,8504,242,11,6.13
7.731978,8517,8504,259,11,6.13
7.831974,8194,8268,259,11,6.13
7.931997,8164,8184,259,11,6.14
8.031956,8154,8172,71,11,6.14
8.131978,8153,8168,71,11,6.14
8.231957,8152,8168,71,11,6.14
8.33198,8149,8168,97,11,6.14
8.431956,8127,8160,97,11,6.14
8.53198,7498,8060,97,11,6.14
8.631958,7288,7532,97,11,6.13
8.731979,6796,6856,429,11,6.13
8.831957,6796,6816,429,11,6.13
8.931981,6796,6816,429,11,6.13
9.031957,6796,6816,296,11,6.13
9.131981,6796,6816,296,11,6.13
9.231957,6796,6816,296,11,6.12
9.33198,6796,6816,317,11,6.12
9.431956,6796,6816,317,11,6.12
9.531981,6796,6816,317,11,6.12
9.631957,6796,6816,317,11,6.11
9.731987,6796,6816,344,11,6.11
9.831957,6796,6816,344,11,6.11
9.931981,7843,7216,344,11,6.04
10.031957,8158,8112,214,11,6.04
10.131979,8160,8156,214,11,6.04
10.231958,8160,8156,214,11,6.14
10.331985,8162,8152,261,11,6.14
10.431964,8162,8156,261,11,6.14
