t__s,ACT_ELEVATOR.Position_CMD,ACT_ELEVATOR.Position_FB,ACT_ELEVATOR.Torque_FB,ACT_ELEVATOR.Temperature_FB__dC,ACT_ELEVATOR.Voltage_FB__V
-0.008038,7932,7936,0,17,6.04
0.091962,7932,7936,0,17,6.04
0.191963,7932,7936,0,17,6.04
0.291963,7932,7936,0,17,6.04
0.391962,7932,7936,0,17,6.04
0.491963,7932,7936,0,17,6.04
0.591984,7932,7936,0,17,6.05
0.691962,7932,7936,0,17,6.05
0.791965,7932,7936,0,17,6.05
0.891962,7932,7936,0,17,6.05
0.991964,7932,7936,0,17,6.05
1.099984,8234,8180,0,17,5.95
1.200004,8234,8232,0,17,5.95
1.299982,8234,8232,0,17,5.95
1.400006,8234,8232,0,17,7.39
1.499983,8234,8232,0,17,7.39
1.600005,8234,8236,0,17,7.4
1.699982,8234,8232,0,17,7.4
1.800012,8234,8236,0,17,7.4
1.89999,8234,8232,0,17,7.4
2.000005,8234,8236,0,17,7.4
2.099982,8234,8232,0,17,7.4
2.200005,8234,8232,0,17,7.4
2.299982,8226,8232,0,17,7.4
2.400006,8214,8232,0,17,7.33
2.49999,8208,8216,75,17,7.33
2.600005,8206,8212,75,17,7.38
2.699982,8206,8212,75,17,7.38
2.800008,8206,8212,75,17,7.38
2.900001,8206,8216,61,17,7.38
3.000006,8206,8212,61,17,7.38
3.099983,8206,8212,61,17,7.39
3.200005,8206,8212,68,17,7.39
3.299983,8206,8212,68,17,7.39
3.400006,8242,8212,68,17,7.38
3.499981,8227,8236,78,17,7.38
3.600005,8220,8224,78,17,7.39
3.699983,8219,8224,78,17,7.39
3.800005,8235,8228,78,17,7.39
3.899983,8239,8232,64,17,7.39
4.000005,8239,8236,64,17,7.39
4.099981,8239,8236,64,17,7.39
4.200005,8239,8236,0,17,7.39
4.299981,8239,8236,0,17,7.39
4.400007,8239,8236,0,17,7.4
4.499982,8239,8236,0,17,7.4
4.600005,8224,8236,0,17,7.4
4.699983,8221,8228,0,17,7.4
4.800005,8221,8228,0,17,7.39
4.899982,8221,8224,0,17,7.39
5.000006,8221,8224,0,17,7.39
5.099983,8221,8224,0,17,7.39
5.200006,8221,8224,0,17,7.39
5.299992,8221,8224,0,17,7.39
5.400004,8221,8224,0,17,7.4
5.499982,8221,8224,0,17,7.4
5.60001,9011,8224,0,17,7.4
5.699982,9011,8968,0,17,7.4
5.800005,9011,9012,0,17,7.4
5.899981,9011,9012,0,17,7.4
6.000005,9011,9012,0,17,7.4
6.099983,9011,9012,0,17,7.4
6.200021,9011,9012,0,17,7.4
6.299982,8415,8944,0,17,7.4
6.400035,8232,8256,0,17,6.05
6.499983,8230,8236,56,17,6.05
6.600033,8224,8236,56,17,6.05
6.700001,8182,8216,56,17,6.05
6.800006,7427,8116,56,17,5.94
6.899983,7427,7436,172,17,5.94
7.000008,7427,7428,172,17,5.94
7.099983,7427,7428,172,17,6.05
7.200014,7427,7428,0,17,6.05
7.299981,7427,7428,0,17,6.05
7.400004,7427,7428,0,17,6.05
7.499982,8239,7428,293,17,6.05
7.600005,8222,8196,293,17,6.05
7.699982,8222,8220,293,17,6.05
7.800005,8222,8220,293,17,6.05
7.899983,8222,8220,0,17,6.05
8.000006,8222,8220,0,17,6.05
8.099984,8222,8220,0,17,6.06
8.200009,8222,8220,0,17,6.06
8.299984,8222,8220,0,17,6.06
8.40002,8222,8220,0,17,6.06
8.499984,8222,8220,0,17,6.06
8.600032,8222,8220,0,17,6.05
8.69999,8222,8220,0,17,6.05
8.800022,8222,8220,0,17,6.01
8.899984,8222,8220,0,17,6.01
9.000007,8222,8220,0,17,6.01
9.099992,8222,8220,0,17,5.99
9.200007,8222,8220,0,17,5.99
9.299983,8222,8220,0,17,5.99
9.400006,8222,8220,0,17,6.05
9.499982,8222,8220,0,17,6.05
9.600004,8222,8220,0,17,5.99
9.699991,8222,8220,0,17,5.99
9.800006,8222,8220,0,17,6.06
9.899983,8222,8220,0,17,6.06
10.000006,8222,8220,0,17,6.06
10.099984,8222,8220,0,17,6.05
10.200015,8222,8220,0,17,6.05
10.299989,8222,8220,0,17,6.05
10.400012,8222,8220,0,17,6.05
10.499982,8222,8220,0,17,6.05
10.600007,8222,8220,0,17,6.06
10.699992,8222,8220,0,17,6.06
10.800005,8222,8220,0,17,6.05
10.899983,8222,8220,0,17,6.05
11.000006,8222,8220,0,17,6.05
11.099983,8222,8220,0,17,6.05
11.200012,8222,8220,0,17,6.05
11.299983,8222,8220,0,17,6.05
11.400006,8222,8220,0,17,6.05
11.499984,8222,8220,0,17,6.05
11.600006,8222,8220,0,17,6.05
11.699983,8222,8220,0,17,6.05
11.800007,8222,8220,0,17,6.06
11.899993,8222,8220,0,17,6.06
12.000006,8222,8220,0,17,6.06
12.099981,8222,8220,0,17,6.05
12.200005,8222,8220,0,17,6.05
12.299998,8222,8220,0,17,6.05
12.400011,8222,8220,0,17,6.05
12.500028,8222,8220,0,17,6.05
12.600006,8222,8220,0,17,6.06
12.699998,8222,8220,0,17,6.06
12.800009,8222,8220,0,17,6.05
12.899983,8222,8220,0,17,6.05
13.000011,8222,8224,0,17,6.05
13.099984,8222,8220,0,17,6.05
13.200006,8222,8220,0,17,6.05
13.299982,8222,8220,0,17,6.05
13.400004,8222,8220,0,17,6.05
13.499983,8222,8220,0,17,6.05
13.600004,8222,8220,0,17,6.05
13.699982,8222,8220,0,17,6.05
13.800015,8222,8220,0,17,6.05
13.899983,8222,8220,0,17,6.05
14.000006,8222,8224,0,17,6.05
14.099983,8222,8220,0,17,6.05
14.200004,8222,8220,0,17,6.05
14.299982,8222,8220,0,17,6.05
14.400006,8222,8220,0,17,6.05
14.499982,8222,8220,0,17,6.05
14.600006,8222,8220,0,17,6.05
14.699981,8222,8220,0,17,6.05
14.800005,8222,8220,0,17,6.05
14.899982,8222,8220,0,17,6.05
15.000005,8222,8220,0,17,6.05
15.099982,8222,8220,0,17,6.05
15.200007,8222,8220,0,17,6.05
15.299983,8222,8220,0,17,6.05
15.400004,8222,8220,0,17,6.05
15.499984,8222,8220,0,17,6.05
15.600006,8222,8220,0,17,6.06
15.699981,8217,8220,0,17,6.06
15.800008,8217,8220,0,17,6.05
15.899983,8217,8220,0,17,6.05
16.000006,8217,8220,0,17,6.05
16.099982,8217,8220,0,17,6.05
16.200005,8217,8220,0,17,6.05
16.300017,8217,8220,0,17,6.05
16.400016,8217,8220,0,17,6.05
16.500012,8217,8220,0,17,6.05
16.600007,8217,8220,0,17,6.05
16.699981,8217,8220,0,17,6.05
16.800011,8217,8220,0,17,6.05
16.899982,8217,8220,0,17,6.05
17.000006,8217,8220,0,17,6.05
17.099983,8217,8220,0,17,6.05
17.200007,8217,8220,0,17,6.05
17.299983,8217,8220,0,17,6.05
17.400006,8217,8220,0,17,6.05
17.499981,8217,8220,0,17,6.05
17.600014,8217,8220,0,17,6.05
17.699989,8217,8220,0,17,6.05
17.800007,8217,8220,0,17,6.03
17.899983,8217,8220,0,17,6.03
18.000004,8217,8220,0,17,6.03
18.099983,8217,8220,0,17,6.03
18.200006,8217,8220,0,17,6.03
18.300001,8217,8220,0,17,6.03
18.400006,8217,8220,0,17,6.03
18.500038,8217,8220,0,17,6.03
18.600005,8217,8220,0,17,6.03
18.699944,8217,8220,0,17,6.03
18.799983,8217,8220,0,17,6.04
18.899959,8217,8220,0,17,6.04
18.999982,8217,8220,0,17,6.04
19.09996,8217,8220,0,17,6.04
19.199981,8217,8220,0,17,6.04
19.299965,8217,8220,0,17,6.04
19.399982,8217,8220,0,17,6.03
19.499959,8217,8220,0,17,6.03
19.59998,8217,8220,0,17,6.03
19.699944,8217,8220,0,17,6.03
19.799987,8217,8220,0,17,6.03
19.899959,8217,8220,0,17,6.03
19.999983,8217,8220,0,17,6.03
20.099959,8217,8220,0,17,6.03
20.199982,8217,8220,0,17,6.03
20.299965,8217,8220,0,17,6.03
20.39998,8217,8220,0,17,6.04
20.499959,8217,8220,0,17,6.04
20.599983,8217,8220,0,17,6.04
20.699959,8217,8220,0,17,6.04
20.800009,8217,8220,0,17,6.05
20.89996,8217,8220,0,17,6.05
20.999982,8217,8220,0,17,6.05
21.099959,8217,8220,0,17,6.03
21.199981,8217,8220,0,17,6.03
21.299959,8217,8220,0,17,6.03
21.39999,8217,8220,0,17,6.05
21.49996,8217,8220,0,17,6.05
21.599981,8217,8220,0,17,6.02
21.699968,8217,8220,0,17,6.02
21.799983,8217,8220,0,17,6.05
21.899959,8217,8220,0,17,6.05
21.999981,8217,8220,0,17,6.05
22.09996,8217,8220,0,17,6.05
22.199981,8217,8220,0,17,6.05
22.299959,8217,8220,0,17,6.05
22.399981,8217,8220,0,17,6.05
22.499944,8217,8220,0,17,6.05
22.599982,8217,8220,0,17,6.05
22.699943,8217,8220,0,17,6.05
22.799982,8217,8220,0,17,6.05
22.899965,8217,8220,0,17,6.05
22.999984,8217,8220,0,17,6.05
23.099959,8217,8220,0,17,6.06
23.19999,8217,8220,0,17,6.06
23.29996,8217,8220,0,17,6.06
23.400031,8217,8220,0,17,6.06
23.49996,8217,8220,0,17,6.06
23.599983,8217,8220,0,17,6.05
23.69996,8217,8220,0,17,6.05
23.799982,8217,8220,0,17,6.05
23.899959,8217,8220,0,17,6.05
