t__s,ACT_AILERON_LEFT.Position_CMD,ACT_AILERON_LEFT.Position_FB,ACT_AILERON_LEFT.Torque_FB,ACT_AILERON_LEFT.Temperature_FB__dC,ACT_AILERON_LEFT.Voltage_FB__V
0.03194,7468,7480,117,23,6.09
0.131958,7468,7480,117,23,6.09
0.231941,7468,7480,133,23,6.09
0.331941,7468,7480,133,23,6.09
0.432001,7468,7480,133,23,6.09
0.53203,7468,7480,145,23,6.09
0.632001,7468,7480,145,23,6.09
0.732001,7468,7480,145,23,6.09
0.832002,7468,7480,158,23,6.09
0.932028,7468,7480,158,23,6.08
1.044008,8084,7480,158,23,6.08
1.144017,8087,8060,158,23,6.14
1.244008,8087,8080,78,23,6.14
1.344011,8087,8080,78,23,6.14
1.444008,8087,8080,78,23,7.45
1.544032,8087,8080,85,23,7.45
1.644008,8087,8080,85,23,7.45
1.744046,8087,8080,85,23,7.45
1.844009,8087,8080,92,23,7.45
1.944069,8087,8080,92,23,7.45
2.044005,8087,8084,92,23,7.45
2.144032,8087,8084,92,23,7.45
2.244009,8087,8084,0,23,7.45
2.344009,8087,8084,0,23,7.45
2.444006,8087,8084,0,23,7.45
2.544007,8087,8084,0,23,7.45
2.644008,8087,8084,0,23,7.45
2.744035,8087,8084,0,23,7.45
2.844009,8087,8084,0,23,7.45
2.944011,8087,8084,0,23,7.45
3.044008,8087,8084,0,23,7.45
3.144016,8087,8084,0,23,7.45
3.244007,8087,8084,0,23,7.45
3.344009,8087,8084,0,23,7.45
3.444009,8087,8084,0,23,7.45
3.544008,8087,8084,0,23,7.45
3.644008,8087,8084,0,23,7.45
3.744025,8087,8084,0,23,7.45
3.844008,8087,8084,0,23,7.45
3.944053,8087,8084,0,23,7.45
4.044009,8087,8084,0,23,7.45
4.144026,8087,8084,0,23,7.45
4.244008,8087,8084,0,23,7.45
4.344009,8087,8084,0,23,7.45
4.444009,8087,8084,0,23,7.45
4.544016,8087,8084,0,23,7.45
4.644011,8087,8084,0,23,7.45
4.744016,8087,8084,0,23,7.45
4.844009,8087,8084,0,23,7.45
4.944021,8087,8084,0,23,7.45
5.044009,8087,8084,0,23,7.45
5.144022,8087,8084,0,23,7.45
5.244008,8087,8084,0,23,7.45
5.344009,8087,8084,0,23,7.45
5.444017,8087,8084,0,23,7.45
5.544014,8087,8084,0,23,7.45
5.644008,8087,8084,0,23,7.45
5.744164,8087,8084,0,23,7.45
5.844009,8087,8084,0,23,7.45
5.944009,8087,8084,0,23,7.45
6.044009,8087,8084,0,23,7.45
6.144007,8087,8084,0,23,7.45
6.244007,8087,8084,0,23,7.45
6.34401,8087,8084,0,23,7.45
6.444009,8087,8084,0,23,6.12
6.544012,8087,8084,0,23,6.12
6.647953,8087,8084,0,23,6.12
6.747951,8087,8084,0,23,6.12
6.847984,8087,8084,0,23,6.12
6.948106,8087,8084,0,23,6.12
7.047951,8087,8084,0,23,6.12
7.148107,8087,8084,0,23,6.12
7.247959,8087,8084,0,23,6.12
7.347951,8087,8084,0,23,6.12
7.447951,8087,8084,0,23,6.12
7.548108,8087,8084,0,23,6.12
7.64795,8087,8084,0,23,6.12
7.74795,8087,8084,0,23,6.11
7.851941,8087,8084,0,23,6.11
7.951942,8087,8084,0,23,6.12
8.051956,8087,8084,0,23,6.12
8.15194,8091,8084,0,23,6.12
8.251941,8395,8084,64,23,6.12
8.351941,8395,8376,64,23,6.12
8.451957,8395,8380,64,23,6.1
8.551942,8395,8380,184,23,6.1
8.651941,8233,8380,184,23,6.1
8.751949,8085,8256,184,23,6.11
8.851957,8084,8096,90,23,6.11
8.95194,8084,8096,90,23,6.11
9.051941,8084,8096,90,23,6.11
9.151942,8084,8096,90,23,6.11
9.251957,8066,8096,124,23,6.11
9.35194,6852,8076,124,23,6.11
9.45194,6852,7528,124,23,6.02
9.551949,6852,6872,109,23,6.02
9.651956,6852,6872,109,23,6.02
