t__s,ACT_AILERON_RIGHT.Position_CMD,ACT_AILERON_RIGHT.Position_FB,ACT_AILERON_RIGHT.Torque_FB,ACT_AILERON_RIGHT.Temperature_FB__dC,ACT_AILERON_RIGHT.Voltage_FB__V
0.031932,9096,9084,312,19,6.02
0.131908,9096,9084,117,19,6.02
0.23193,9096,9084,117,19,6.02
0.331909,9096,9084,117,19,6.02
0.431931,9096,9084,117,19,6.03
0.531906,9096,9084,133,19,6.03
0.63193,9096,9084,133,19,6.03
0.731907,9096,9084,133,19,6.03
0.83193,9096,9084,146,19,6.03
0.931907,9096,9084,146,19,6.03
1.035887,8363,9044,146,19,5.42
1.135887,8364,8384,216,19,5.42
1.235936,8364,8376,216,19,6.11
1.335937,8364,8372,216,19,6.11
1.435938,8364,8372,216,19,7.46
1.535937,8364,8372,127,19,7.46
1.63597,8364,8372,127,19,7.46
1.735978,8364,8372,127,19,7.46
1.835969,8364,8372,136,19,7.46
1.935937,8364,8372,136,19,7.46
2.035984,8364,8372,136,19,7.46
2.135943,8364,8372,145,19,7.46
2.235972,8364,8372,145,19,7.46
2.335938,8397,8384,145,19,7.46
2.435954,8873,8524,145,19,7.34
2.535937,9831,9556,1208,19,7.34
2.635936,9831,9816,1208,19,7.34
2.735976,9831,9816,1208,19,7.45
2.835935,9831,9816,290,19,7.45
2.93597,9831,9816,290,19,7.45
3.035939,9831,9816,290,19,7.44
3.135964,8362,9756,2450,19,7.44
3.235945,8362,8412,2450,19,7.46
3.335935,8359,8376,2450,19,7.46
3.435936,8045,8260,2450,19,7.31
3.535936,8045,8068,237,19,7.31
3.635935,8045,8068,237,19,7.31
3.735939,8045,8068,237,19,7.45
3.835937,8444,8068,54,19,7.45
3.935937,8368,8388,54,19,7.45
4.035937,8363,8376,54,19,7.46
4.135936,8359,8372,131,19,7.46
4.235937,8357,8368,131,19,7.46
4.335936,8357,8368,131,19,7.46
4.435937,8357,8368,131,19,7.46
4.535936,8357,8368,129,19,7.46
4.635945,8371,8368,129,19,7.46
4.735977,8377,8372,129,19,7.47
4.835935,8373,8372,0,19,7.47
4.935937,8379,8380,0,19,7.47
5.035935,8362,8376,0,19,7.46
5.135936,8361,8372,105,19,7.46
5.235936,8361,8372,105,19,7.46
5.335935,8356,8372,105,19,7.46
5.435937,8372,8368,105,19,7.47
5.535936,8373,8368,46,19,7.47
5.635936,8373,8368,46,19,7.47
5.735937,8373,8368,46,19,7.47
5.835936,8373,8368,51,19,7.47
5.935937,8373,8368,51,19,7.47
6.035941,8373,8368,51,19,7.46
6.135937,8373,8368,56,19,7.46
6.235966,8373,8368,56,19,7.47
6.335937,8373,8368,56,19,7.47
6.435953,8373,8368,56,19,6.11
6.535937,8373,8368,63,19,6.11
6.635936,8373,8368,63,19,6.11
6.735937,8373,8368,63,19,6.12
6.835936,8373,8372,0,19,6.12
6.935935,8373,8372,0,19,6.12
7.035945,8373,8372,0,19,6.11
7.135937,8373,8372,0,19,6.11
7.235937,8373,8372,0,19,6.12
7.335944,8373,8372,0,19,6.12
7.435945,8373,8372,0,19,6.12
7.535935,8373,8372,0,19,6.12
7.635937,8373,8372,0,19,6.12
7.735936,8373,8372,0,19,6.12
7.835936,8373,8372,0,19,6.12
7.935948,8373,8372,0,19,6.12
8.035937,8373,8372,0,19,6.12
8.135936,8373,8372,0,19,6.12
8.235945,8373,8372,0,19,6.12
8.335936,8373,8372,0,19,6.12
8.435936,8373,8372,0,19,6.12
8.535937,8373,8372,0,19,6.12
8.635936,8373,8372,0,19,6.12
8.735937,8373,8372,0,19,6.12
8.835938,8373,8372,0,19,6.12
8.935937,8373,8372,0,19,6.12
9.035937,8373,8372,0,19,6.12
9.135938,8373,8372,0,19,6.12
9.235939,8373,8372,0,19,6.12
9.335937,8373,8372,0,19,6.12
9.435938,8373,8372,0,19,6.12
9.535936,8373,8372,0,19,6.12
9.635937,8373,8372,0,19,6.12
9.735936,8373,8372,0,19,6.12
9.835944,8373,8372,0,19,6.12
9.935936,8373,8372,0,19,6.12
10.035935,8373,8372,0,19,6.12
10.135935,8373,8372,0,19,6.12
10.235937,8373,8372,0,19,6.12
10.335935,8373,8372,0,19,6.12
10.435935,8373,8372,0,19,6.12
10.535937,8373,8372,0,19,6.12
10.635935,8373,8372,0,19,6.12
10.735934,8373,8372,0,19,6.12
10.835937,8373,8372,0,19,6.12
10.935937,8373,8372,0,19,6.12
11.035936,8373,8372,0,19,6.12
11.135937,8373,8372,0,19,6.12
11.235944,8373,8372,0,19,6.12
11.335942,8373,8372,0,19,6.12
11.435958,8373,8372,0,19,6.12
11.535936,8373,8372,0,19,6.12
11.635971,8373,8372,0,19,6.12
11.735936,8373,8372,0,19,6.12
11.83596,8373,8372,0,19,6.12
11.935938,8373,8372,0,19,6.12
12.035935,8373,8372,0,19,6.12
12.135939,8373,8372,0,19,6.12
12.235937,8373,8372,0,19,6.12
12.335936,8373,8372,0,19,6.12
12.435935,8373,8372,0,19,6.12
12.535935,8373,8372,0,19,6.12
12.635936,8373,8372,0,19,6.12
12.735935,8373,8372,0,19,6.12
12.835935,8373,8372,0,19,6.12
12.935943,8373,8372,0,19,6.12
13.035936,8373,8372,0,19,6.12
13.135935,8373,8372,0,19,6.12
13.235945,8373,8372,0,19,6.12
13.335937,8373,8372,0,19,6.12
13.435937,8373,8372,0,19,6.12
13.535936,8373,8372,0,19,6.12
13.635937,8373,8372,0,19,6.12
13.735944,8373,8372,0,19,6.12
13.835936,8373,8372,0,19,6.12
